#{"t_start": 1787377567.422296, "env_id": "None"}
r,l,t
-12.0,351,2.703306
-1.0,347,4.862698
-10.0,357,6.500067
-11.0,357,7.957073
-2.0,359,9.55154
-10.0,361,11.740796
-14.0,363,13.244975
-13.0,361,15.767376
-15.0,365,18.267404
-12.0,364,20.246669
-13.0,358,21.6291
-11.0,373,23.758026
-9.0,364,26.42021
-6.0,364,28.021947
-10.0,368,30.02551
-16.0,363,31.619573
-10.0,355,33.170251
-13.0,368,34.869098
-5.0,361,36.367701
-2.0,373,38.218339
-3.0,362,39.874
-15.0,374,41.684883
-12.0,368,43.794765
-8.0,366,45.353597
-16.0,374,47.06718
-6.0,367,48.750709
-17.0,364,51.040285
0.0,368,52.937159
-12.0,365,54.827695
0.0,359,56.632232
-11.0,364,58.326027
-17.0,362,60.085605
0.0,361,61.832043
-13.0,360,63.595153
-17.0,346,64.901863
-15.0,346,66.323294
-15.0,360,68.097014
-12.0,352,69.542484
-8.0,359,71.386209
-3.0,350,73.10452
-1.0,348,74.660308
-17.0,342,76.241889
-14.0,357,78.10826
-10.0,359,79.86974
-9.0,348,81.621369
-8.0,361,83.367498
-6.0,364,84.964924
-14.0,355,86.448781
-10.0,362,88.215031
-5.0,365,89.897122
-9.0,366,91.357132
-9.0,356,92.915208
-16.0,353,94.442865
-6.0,348,96.037164
0.0,351,97.589114
-10.0,353,99.121949
-11.0,357,100.734095
-16.0,352,102.137735
-13.0,355,103.941352
-16.0,350,105.736653
-16.0,355,107.273676
-15.0,348,108.926391
-13.0,338,110.596426
-14.0,342,112.221199
-15.0,350,114.079001
-9.0,333,115.904522
-3.0,337,117.418914
-14.0,341,119.052844
-11.0,345,120.961631
-15.0,343,122.466053
-17.0,342,124.20229
-5.0,345,125.905381
-12.0,347,127.336076
-16.0,342,128.987036
-12.0,342,130.659112
-16.0,342,132.046889
-11.0,344,133.652591
-10.0,343,135.334337
-13.0,343,136.868795
-17.0,349,138.689342
0.0,348,140.490262
-9.0,349,141.992213
-17.0,343,143.842281
-12.0,346,145.51577
-14.0,354,147.037206
-15.0,346,148.673773
-13.0,355,150.300854
-15.0,345,151.780515
-10.0,355,153.443702
-5.0,337,155.043481
-17.0,351,156.672007
-6.0,351,158.131316
-12.0,343,159.735697
-17.0,351,161.394777
-9.0,352,162.871285
-15.0,354,164.541658
-3.0,343,166.159479
-11.0,354,167.662597
-10.0,351,169.263183
-14.0,351,170.927352
-10.0,351,172.419842
-10.0,348,174.066141
-11.0,350,175.669847
-17.0,352,177.161515
-13.0,347,178.87916
-11.0,348,180.548471
-10.0,345,182.368818
-11.0,344,184.177649
-14.0,347,185.903298
-16.0,348,187.426236
-17.0,355,189.276718
-15.0,345,190.985494
-13.0,341,192.339567
-9.0,341,194.401246
-14.0,346,196.26372
-11.0,347,198.164451
-10.0,350,199.819423
-9.0,348,201.68221
-15.0,346,203.471242
-15.0,348,205.217725
-7.0,346,207.044064
-6.0,344,208.796162
-11.0,344,210.365583
-8.0,344,212.062155
-9.0,345,213.731942
-16.0,339,215.206819
-9.0,335,216.801602
-3.0,346,218.471077
-14.0,344,220.031201
-5.0,345,221.705422
-12.0,340,223.511663
-3.0,341,225.096648
-3.0,342,227.117616
-11.0,341,228.982511
-5.0,343,230.555041
-10.0,350,232.343212
-9.0,345,234.026512
-14.0,341,235.520481
-1.0,339,237.185686
-17.0,343,238.860221
-10.0,345,240.382109
-13.0,343,242.05611
-13.0,344,243.672713
-15.0,342,245.240205
-12.0,343,246.849909
-14.0,351,248.594853
-11.0,350,250.169475
-13.0,339,251.773122
-17.0,346,253.445978
-3.0,349,254.984815
-17.0,352,256.766092
-10.0,347,258.439
-12.0,352,259.9818
-17.0,351,261.69138
-8.0,341,263.371871
-11.0,344,264.8826
-3.0,346,266.562567
0.0,338,268.221413
-10.0,348,269.752613
-12.0,343,271.444312
-11.0,343,273.121226
-9.0,343,274.636427
-3.0,334,276.239567
-8.0,344,277.969996
-9.0,339,279.474472
-12.0,345,281.136415
-12.0,338,282.772867
-7.0,344,284.340861
-3.0,342,286.030466
-16.0,340,287.70777
-13.0,336,289.214316
-8.0,340,290.886668
-13.0,336,292.593488
0.0,338,294.100472
-4.0,345,295.778172
-10.0,340,297.463916
-14.0,344,298.989453
-13.0,339,300.606738
-10.0,347,302.379937
-14.0,343,303.919979
