#{"t_start": 1787377567.50914, "env_id": "None"}
r,l,t
-13.0,352,2.720049
-13.0,355,4.985164
-10.0,356,6.598881
-12.0,363,8.178751
-15.0,357,9.724766
-17.0,348,11.595264
-5.0,346,12.860894
-10.0,359,15.430491
-3.0,365,17.818733
-5.0,364,19.625037
-2.0,370,21.406995
-16.0,364,23.409779
-10.0,356,26.045311
-13.0,368,27.669703
-13.0,359,29.507572
-10.0,362,31.151324
-9.0,356,32.744175
-12.0,379,34.478619
-6.0,371,36.195161
-13.0,367,38.025184
-3.0,375,39.728987
-16.0,373,41.529876
-2.0,364,43.552357
-8.0,367,45.200123
-6.0,377,46.838317
-10.0,364,48.587506
-11.0,365,50.857129
-11.0,368,52.706634
-12.0,365,54.59104
-6.0,358,56.401993
-10.0,359,58.043884
-5.0,356,59.830818
-17.0,368,61.599707
-3.0,360,63.359864
-5.0,353,64.752139
-17.0,365,66.444778
-10.0,363,68.187698
-15.0,358,69.784822
-4.0,357,71.704199
-4.0,359,73.391708
-17.0,357,75.037669
-15.0,339,76.416416
-12.0,354,78.318115
-15.0,351,80.281113
-3.0,356,81.851072
-13.0,361,83.623974
-12.0,355,85.145483
-15.0,350,86.580033
-4.0,365,88.370092
-13.0,357,89.907212
-10.0,357,91.390991
-4.0,354,92.896248
-1.0,352,94.419357
-14.0,357,96.054469
-7.0,358,97.610238
-13.0,356,99.151578
-10.0,354,100.805915
-14.0,350,102.153331
-9.0,351,103.957836
-7.0,353,105.756594
-11.0,345,107.269581
-17.0,345,108.917843
-16.0,349,110.698748
-10.0,337,112.223916
-8.0,348,114.138274
-1.0,340,115.937068
-14.0,341,117.444611
-10.0,340,119.145308
-14.0,344,120.990073
-11.0,346,122.494324
-13.0,340,124.261196
-13.0,346,125.928186
-1.0,344,127.34842
-15.0,346,129.018588
-14.0,338,130.671456
-8.0,340,132.055291
-10.0,343,133.661163
-4.0,346,135.349476
-13.0,346,136.897683
-16.0,342,138.70335
-11.0,349,140.508339
-11.0,350,142.000639
-13.0,351,143.880621
-6.0,352,145.630558
-3.0,341,147.047969
-12.0,347,148.686024
-11.0,347,150.289773
-10.0,349,151.786693
-14.0,350,153.433214
-8.0,341,155.045245
-14.0,351,156.670287
-7.0,349,158.12581
-14.0,349,159.746493
-8.0,347,161.393434
-8.0,352,162.878171
-5.0,349,164.533918
-11.0,353,166.177115
-3.0,348,167.659634
-5.0,350,169.255811
-12.0,351,170.921391
-8.0,352,172.477769
-7.0,353,174.137058
-10.0,352,175.741814
-1.0,344,177.215088
-10.0,348,178.939368
-16.0,340,180.530218
-11.0,354,182.456754
-14.0,344,184.280061
-17.0,350,185.977305
-9.0,342,187.48426
-9.0,347,189.193672
-17.0,344,190.831057
-16.0,348,192.61564
-11.0,348,194.567186
-2.0,345,196.409466
-16.0,342,198.219163
-15.0,339,199.664206
-13.0,343,201.503034
-9.0,348,203.27818
-11.0,343,205.007307
-3.0,343,206.795203
-11.0,345,208.550403
-15.0,346,210.123932
-9.0,343,211.877353
-1.0,345,213.551905
-10.0,346,215.048171
-6.0,348,216.789998
-13.0,345,218.46127
-3.0,346,220.026007
-8.0,344,221.758443
-17.0,344,223.5171
-17.0,344,225.106052
-14.0,344,227.143677
-9.0,336,228.990007
-11.0,344,230.56603
-3.0,345,232.339783
-16.0,344,234.017542
-17.0,344,235.518971
-4.0,342,237.195111
-13.0,347,238.882199
-11.0,339,240.380053
-13.0,339,242.043245
-11.0,346,243.725191
-4.0,348,245.253424
-10.0,346,246.927464
-7.0,351,248.670847
-11.0,343,250.165699
-17.0,343,251.842602
-3.0,344,253.519908
-13.0,343,254.975367
-15.0,348,256.741755
-12.0,346,258.407439
-7.0,341,259.809053
-12.0,348,261.50975
-6.0,344,263.19586
-8.0,344,264.709031
-14.0,345,266.380762
-15.0,345,268.069409
-1.0,337,269.564034
-3.0,343,271.2601
-12.0,346,272.942343
-5.0,346,274.466115
-14.0,344,276.214467
-13.0,337,277.806602
-11.0,339,279.310148
-6.0,343,280.972181
-6.0,346,282.685951
-11.0,342,284.186991
-15.0,334,285.854037
-15.0,331,287.449016
-12.0,342,289.030234
-15.0,338,290.696733
-13.0,337,292.405457
-3.0,344,293.935902
-15.0,344,295.607945
-6.0,345,297.306446
-12.0,346,298.838217
-17.0,345,300.587375
-1.0,337,302.208902
-16.0,345,303.764384
