#{"t_start": 1787377567.449085, "env_id": "None"}
r,l,t
-15.0,355,2.882525
-11.0,352,5.044894
-3.0,352,6.534141
-9.0,344,7.838439
-2.0,354,9.427878
-6.0,360,11.45053
-17.0,356,12.855267
-17.0,358,15.407002
-13.0,363,17.776711
-15.0,365,19.524467
-5.0,366,21.313272
-14.0,362,23.374664
-4.0,368,26.105356
-8.0,368,27.728544
-6.0,363,29.701838
-12.0,369,31.364721
-15.0,348,32.877692
-15.0,370,34.437174
-17.0,373,36.180678
-16.0,364,38.008756
-8.0,371,39.699458
-3.0,364,41.465981
-10.0,369,43.505574
-16.0,366,45.166228
-10.0,369,46.774873
-14.0,370,48.521558
-14.0,371,50.783421
-11.0,367,52.668582
-7.0,366,54.55062
-14.0,363,56.388113
-4.0,356,58.024095
-13.0,355,59.744689
-3.0,352,61.47024
-3.0,360,63.215933
-13.0,360,64.708144
-16.0,354,66.201742
-6.0,363,67.972547
-16.0,355,69.439082
-15.0,361,71.265999
-13.0,352,73.013499
-3.0,358,74.706308
-9.0,347,76.298402
-5.0,357,78.177059
-3.0,358,80.148229
-8.0,353,81.69671
-14.0,359,83.445041
-14.0,360,85.02292
-6.0,355,86.496082
-14.0,359,88.261921
-13.0,356,89.804753
-6.0,357,91.198115
-13.0,355,92.796394
-8.0,358,94.338762
-9.0,349,95.893455
-3.0,348,97.480395
-10.0,355,99.015009
-14.0,354,100.621209
-15.0,342,101.99698
-17.0,353,103.773397
-10.0,349,105.583635
-10.0,350,107.093454
-17.0,346,108.746136
-4.0,344,110.432091
-12.0,348,112.069603
-17.0,343,113.913466
-10.0,344,115.769509
-16.0,339,117.295763
0.0,342,118.928659
-9.0,342,120.810465
-11.0,343,122.335177
-11.0,348,124.015961
-12.0,341,125.781455
-14.0,345,127.205537
-14.0,338,128.847755
-4.0,335,130.496153
0.0,340,131.87784
-3.0,340,133.473464
-10.0,346,135.161784
-15.0,342,136.69896
-11.0,350,138.505479
-7.0,347,140.307272
-15.0,342,141.7959
-12.0,348,143.659499
-12.0,347,145.336232
-6.0,353,146.851088
-17.0,349,148.501757
-8.0,354,150.128015
-7.0,354,151.631909
-14.0,352,153.286612
-6.0,351,154.93076
-6.0,345,156.381231
-12.0,345,157.985687
0.0,352,159.614651
0.0,351,161.270509
-11.0,352,162.748487
-16.0,346,164.390142
-16.0,344,166.018363
-15.0,347,167.497548
-14.0,351,169.095435
-10.0,351,170.759999
-15.0,350,172.25208
-14.0,352,173.905791
-4.0,352,175.516318
-13.0,350,177.000286
-14.0,342,178.695462
-14.0,352,180.387582
-15.0,341,182.11678
-11.0,346,183.946671
-9.0,343,185.724949
-17.0,339,187.212493
-14.0,341,188.895213
-11.0,349,190.550747
-4.0,346,192.113808
-11.0,349,194.185068
-13.0,345,196.058245
-12.0,345,197.620125
-13.0,340,199.420083
-13.0,346,201.234815
-15.0,343,202.731964
-15.0,337,204.688548
-14.0,342,206.547207
-9.0,345,208.0901
-6.0,346,209.839635
-11.0,340,211.527428
-14.0,345,213.029974
-14.0,345,214.69287
-13.0,345,216.363079
-13.0,340,217.856519
-9.0,339,219.498783
-8.0,344,221.22423
-11.0,342,222.868151
-13.0,346,224.649273
-14.0,342,226.578178
-15.0,336,228.351974
-13.0,345,230.098726
-1.0,345,231.869934
-6.0,348,233.403714
-6.0,339,235.058437
-15.0,346,236.731757
-3.0,348,238.427936
-14.0,341,239.933396
-14.0,346,241.613464
-9.0,340,243.283549
-12.0,344,244.796795
-11.0,347,246.482144
-11.0,344,248.148535
-9.0,342,249.65429
-12.0,350,251.323084
-12.0,346,253.00884
-17.0,334,254.501707
-10.0,343,256.179203
-17.0,346,257.870035
-15.0,335,259.341503
-8.0,342,260.967906
-12.0,339,262.658594
-14.0,341,264.168398
-14.0,339,265.818787
-11.0,347,267.510932
-11.0,343,269.017737
-11.0,348,270.723871
-14.0,343,272.41763
-16.0,344,273.923084
-1.0,342,275.598351
-14.0,337,277.266318
-12.0,345,278.789065
-14.0,340,280.442128
-11.0,342,282.121055
-14.0,339,283.607652
0.0,343,285.317598
-10.0,341,287.007061
-9.0,334,288.493757
-7.0,343,290.173275
-9.0,344,291.869425
-11.0,346,293.446568
-12.0,341,295.121876
-5.0,344,296.812602
-10.0,340,298.322429
-14.0,342,300.003038
-5.0,339,301.679334
-9.0,342,303.229213
