#{"t_start": 1787377567.463983, "env_id": "None"}
r,l,t
-9.0,347,2.440847
-12.0,355,4.892194
-13.0,359,6.57853
-13.0,359,8.082983
-6.0,357,9.689558
-17.0,363,11.834672
-13.0,361,13.347008
-14.0,363,15.907819
-4.0,368,18.339785
-15.0,350,19.959672
-13.0,375,21.681402
-16.0,361,23.824713
-10.0,367,26.4622
-1.0,368,28.058142
-5.0,359,29.98205
-10.0,369,31.65919
-14.0,361,33.298293
-2.0,372,35.017612
-17.0,371,36.624538
-13.0,360,38.3827
-12.0,363,39.980367
-11.0,362,41.702618
-3.0,363,43.677131
-11.0,373,45.520752
-3.0,368,46.960215
-10.0,374,48.95457
-9.0,361,51.086455
-17.0,365,52.827196
-2.0,363,54.709117
-16.0,358,56.511259
-13.0,360,58.150779
-15.0,352,59.813341
-10.0,365,61.580267
-17.0,359,63.325346
-12.0,361,64.860424
-8.0,355,66.378014
-3.0,356,68.133647
-10.0,360,69.587739
-7.0,354,71.430237
-17.0,358,73.161063
-3.0,360,74.878571
-8.0,355,76.525409
-10.0,357,78.530636
-12.0,353,80.406283
-15.0,339,81.769098
-8.0,360,83.52357
-17.0,357,85.105407
-16.0,355,86.563152
-14.0,363,88.338193
-12.0,365,90.01915
-15.0,350,91.374862
-3.0,362,93.002672
-10.0,355,94.535225
-17.0,359,96.35289
-15.0,351,97.711302
-9.0,355,99.249993
-14.0,346,100.781117
-9.0,357,102.198521
-13.0,359,104.15938
-11.0,347,105.878455
-5.0,344,107.383212
-13.0,348,109.03415
-6.0,348,110.826629
-12.0,344,112.421588
0.0,340,114.253013
-3.0,344,116.136447
-14.0,345,117.630294
-2.0,344,119.392024
-10.0,338,121.183425
-17.0,344,122.620246
-3.0,342,124.410195
-6.0,342,126.041985
-7.0,347,127.470567
-13.0,344,129.139934
-11.0,341,130.799624
-9.0,344,132.242877
-2.0,346,133.869684
-13.0,342,135.481153
-14.0,349,137.041404
-4.0,350,138.945253
-9.0,344,140.657895
-15.0,343,142.190401
-14.0,345,144.007924
-9.0,342,145.598311
-10.0,354,147.167967
-12.0,352,148.82373
-5.0,352,150.454016
-9.0,348,152.102624
-4.0,342,153.556652
-4.0,351,155.202464
-11.0,356,156.832202
-14.0,352,158.300176
-14.0,343,159.903741
-13.0,350,161.561644
-10.0,352,163.045039
-8.0,342,164.685289
-17.0,351,166.31887
-5.0,348,167.800978
-15.0,340,169.372394
-11.0,351,171.035165
-9.0,345,172.457459
-16.0,349,174.106002
-8.0,351,175.709244
-13.0,351,177.200258
-14.0,342,178.904472
-11.0,349,180.638135
-13.0,346,182.420042
-1.0,344,184.229438
-9.0,343,185.923158
-11.0,350,187.453194
-11.0,347,189.099267
-11.0,347,190.80928
-6.0,347,192.366704
-13.0,341,194.445235
-2.0,346,196.297202
-15.0,349,198.201442
0.0,347,199.838703
-15.0,326,201.448402
-15.0,336,202.926207
-6.0,348,204.928729
-15.0,328,206.668979
-6.0,346,208.212523
-11.0,339,209.933607
-13.0,341,211.624254
-4.0,346,213.131344
-8.0,348,214.80517
-16.0,342,216.472813
-11.0,343,218.136774
-6.0,346,219.63185
-17.0,345,221.3596
-16.0,343,223.185127
-17.0,343,224.784391
-5.0,343,226.784361
-15.0,338,228.651911
-3.0,349,230.249713
-13.0,347,232.084209
-12.0,343,233.768149
0.0,347,235.280927
-1.0,345,236.956338
-16.0,344,238.63471
-13.0,339,240.081204
-10.0,347,241.833467
-12.0,345,243.510554
-12.0,347,245.029742
-13.0,340,246.634659
-1.0,340,248.286305
-13.0,343,249.796777
-8.0,341,251.438027
-8.0,343,253.112831
-16.0,349,254.650197
-15.0,346,256.396349
-1.0,339,258.064575
-9.0,341,259.503584
-8.0,338,261.116224
-14.0,340,262.802693
-17.0,345,264.327738
-17.0,336,265.969913
-14.0,343,267.653438
-11.0,340,269.146638
-8.0,339,270.829195
-6.0,343,272.51608
-16.0,340,274.015004
-13.0,338,275.677874
-11.0,343,277.361117
-12.0,345,278.885263
-14.0,341,280.542729
-8.0,344,282.224465
-9.0,336,283.706922
-11.0,342,285.413098
-8.0,339,287.092276
-7.0,346,288.625628
-14.0,340,290.290838
-7.0,343,291.980402
-11.0,344,293.5523
-13.0,344,295.291596
-13.0,341,296.916791
-14.0,338,298.424839
-3.0,341,300.097625
-8.0,342,301.788025
-10.0,340,303.332624
