#{"t_start": 1786207695.3457978, "env_id": "None"}
r,l,t
177.0,178,0.684463
184.0,185,1.265609
185.0,186,1.979063
186.0,187,2.493182
182.0,183,3.256395
179.0,180,4.504956
183.0,184,5.399684
183.0,184,6.140959
183.0,184,6.937221
177.0,178,7.522921
180.0,181,8.346404
183.0,184,9.376287
175.0,176,10.092713
186.0,187,10.648045
183.0,184,11.347373
183.0,184,12.622969
179.0,180,14.513962
182.0,183,15.300035
178.0,179,15.880936
176.0,177,16.545435
184.0,185,17.073992
176.0,177,17.532283
176.0,177,18.262673
178.0,179,18.757665
183.0,184,19.21855
178.0,179,19.859026
178.0,179,20.500904
182.0,183,21.1993
175.0,176,22.302425
180.0,181,22.910662
177.0,178,23.817825
180.0,181,24.818441
177.0,178,25.362671
176.0,177,26.337625
171.0,172,27.085381
172.0,173,27.864955
179.0,180,29.219788
177.0,178,30.086385
176.0,177,30.552477
179.0,180,31.809597
179.0,180,32.698616
179.0,180,33.299059
184.0,185,34.56916
179.0,180,35.435285
184.0,185,36.062485
179.0,180,36.738223
181.0,182,37.25637
182.0,183,37.923836
180.0,181,38.970356
177.0,178,39.58502
183.0,184,40.101058
181.0,182,41.105336
184.0,185,41.827287
182.0,183,42.616933
182.0,183,43.455437
182.0,183,44.05046
181.0,182,44.83478
182.0,183,45.302406
179.0,180,45.749621
180.0,181,46.588694
173.0,174,47.278925
178.0,179,47.877965
173.0,174,48.721163
181.0,182,49.314207
180.0,181,49.90801
179.0,180,50.567429
179.0,180,51.035439
182.0,183,51.80563
182.0,183,52.263945
180.0,181,52.74674
182.0,183,53.418926
185.0,186,53.873086
175.0,176,54.314505
186.0,187,54.97326
185.0,186,55.449853
178.0,179,56.042572
176.0,177,57.047723
183.0,184,57.823024
178.0,179,58.333743
172.0,173,59.327917
184.0,185,60.104921
181.0,182,60.734828
181.0,182,61.55928
181.0,182,62.283563
182.0,183,63.11724
184.0,185,63.763363
177.0,178,64.383066
179.0,180,65.475686
185.0,186,66.275283
182.0,183,66.917458
185.0,186,67.808516
176.0,177,68.424911
172.0,173,69.056127
180.0,181,69.780016
173.0,174,70.189825
183.0,184,70.629704
181.0,182,71.274916
181.0,182,71.795824
176.0,177,72.230178
182.0,183,72.853801
183.0,184,73.30747
180.0,181,73.947442
181.0,182,74.401206
177.0,178,74.88441
178.0,179,75.92318
182.0,183,76.422014
180.0,181,76.868288
183.0,184,77.482385
184.0,185,77.940032
176.0,177,78.372315
180.0,181,78.965777
175.0,176,79.403493
186.0,187,79.849306
186.0,187,80.552609
181.0,182,80.980982
182.0,183,81.602286
182.0,183,82.03448
184.0,185,82.493441
187.0,188,83.1412
180.0,181,83.545371
186.0,187,84.002657
181.0,182,84.609346
180.0,181,85.055561
170.0,171,85.454478
178.0,179,86.057159
180.0,181,86.491282
181.0,182,86.93269
185.0,186,87.551991
183.0,184,88.020443
182.0,183,88.639534
180.0,181,89.112333
176.0,177,89.542466
175.0,176,90.201844
178.0,179,90.671144
187.0,188,91.145508
173.0,174,91.734801
177.0,178,92.210301
180.0,181,92.676261
182.0,183,93.315829
186.0,187,93.786003
185.0,186,94.301094
181.0,182,95.338986
181.0,182,96.151002
182.0,183,96.860799
182.0,183,97.613444
175.0,176,98.344067
182.0,183,99.497093
180.0,181,100.209831
182.0,183,100.94799
179.0,180,101.865369
170.0,171,102.378439
178.0,179,103.11367
180.0,181,104.02911
183.0,184,104.813709
181.0,182,105.615477
176.0,177,106.516831
182.0,183,106.980853
184.0,185,107.440061
184.0,185,108.096144
181.0,182,108.588234
183.0,184,109.056093
186.0,187,109.913881
184.0,185,110.873771
183.0,184,111.820993
181.0,182,112.555803
183.0,184,113.318206
183.0,184,114.084729
180.0,181,114.670902
184.0,185,115.402636
186.0,187,116.251471
185.0,186,116.725693
186.0,187,117.17529
179.0,180,117.798537
173.0,174,118.260462
179.0,180,118.723157
184.0,185,119.418267
181.0,182,119.891859
182.0,183,120.55707
186.0,187,121.037013
177.0,178,121.502981
190.0,191,122.348277
181.0,182,122.869094
179.0,180,123.340568
182.0,183,123.972201
182.0,183,124.408356
174.0,175,124.880427
179.0,180,125.520747
181.0,182,126.002013
183.0,184,126.496112
181.0,182,127.144313
180.0,181,127.618497
182.0,183,128.248127
184.0,185,128.700435
177.0,178,129.226452
187.0,188,129.957271
184.0,185,130.52971
176.0,177,131.018187
182.0,183,131.689498
180.0,181,132.142793
184.0,185,132.669482
168.0,169,133.342844
185.0,186,134.002234
179.0,180,134.822667
183.0,184,136.195142
181.0,182,136.752459
171.0,172,137.219519
183.0,184,137.981121
185.0,186,138.534289
181.0,182,139.204657
172.0,173,139.641012
179.0,180,140.124645
186.0,187,140.836099
186.0,187,141.355985
183.0,184,141.836015
180.0,181,142.507817
186.0,187,143.074359
178.0,179,143.631503
188.0,189,144.405978
188.0,189,144.927883
180.0,181,145.609506
188.0,189,146.109831
181.0,182,146.570999
189.0,190,147.251496
185.0,186,147.737354
183.0,184,148.228196
184.0,185,149.45199
185.0,186,150.327225
185.0,186,151.081312
181.0,182,151.905922
182.0,183,152.689296
171.0,172,153.308372
182.0,183,154.096891
177.0,178,154.794241
190.0,191,155.674416
186.0,187,156.17598
187.0,188,156.672854
179.0,180,157.344437
186.0,187,157.827352
188.0,189,158.279854
179.0,180,158.94225
190.0,191,159.530668
186.0,187,160.071753
187.0,188,160.727999
182.0,183,161.224652
184.0,185,161.860656
184.0,185,162.316685
181.0,182,162.768602
191.0,192,163.456288
186.0,187,164.240633
188.0,189,164.984541
179.0,180,165.761484
188.0,189,166.214628
187.0,188,166.687494
185.0,186,167.342501
179.0,180,167.821737
185.0,186,168.554843
186.0,187,169.404321
188.0,189,170.67258
185.0,186,171.641233
180.0,181,172.158286
187.0,188,172.839882
188.0,189,173.645372
186.0,187,174.17094
175.0,176,174.743974
186.0,187,176.591332
179.0,180,177.111961
182.0,183,177.68269
189.0,190,179.030562
183.0,184,179.823261
185.0,186,180.990208
180.0,181,181.666917
179.0,180,182.402821
184.0,185,183.290257
185.0,186,184.104506
183.0,184,184.699372
185.0,186,185.801068
180.0,181,186.472248
181.0,182,187.013032
182.0,183,187.672602
186.0,187,188.152948
171.0,172,188.797748
179.0,180,189.275373
179.0,180,189.954491
177.0,178,190.922465
187.0,188,191.585168
181.0,182,192.034409
180.0,181,192.786795
186.0,187,193.528946
185.0,186,194.167244
188.0,189,195.141768
191.0,192,195.923227
184.0,185,196.381028
187.0,188,197.07361
187.0,188,197.563215
188.0,189,198.208704
181.0,182,198.678717
181.0,182,199.146038
184.0,185,200.039886
190.0,191,200.653928
185.0,186,201.154394
182.0,183,201.882488
187.0,188,202.430948
187.0,188,202.953
184.0,185,203.624511
183.0,184,204.238695
189.0,190,204.999143
184.0,185,205.699649
186.0,187,206.701873
192.0,193,208.11797
176.0,177,208.804572
181.0,182,209.622863
183.0,184,210.518862
169.0,170,211.099465
183.0,184,211.648866
188.0,189,212.457062
186.0,187,212.988906
187.0,188,213.773644
191.0,192,214.357555
181.0,182,214.88299
188.0,189,215.681618
183.0,184,216.227018
187.0,188,216.804561
190.0,191,217.545571
180.0,181,218.178243
187.0,188,218.759843
178.0,179,219.467248
179.0,180,220.100065
182.0,183,220.950049
194.0,195,221.503023
190.0,191,222.049507
185.0,186,222.905747
191.0,192,223.705742
183.0,184,224.259209
188.0,189,225.036089
188.0,189,225.562926
190.0,191,226.129306
182.0,183,227.231359
182.0,183,228.022587
187.0,188,228.819937
182.0,183,229.33112
184.0,185,229.908717
187.0,188,230.660043
186.0,187,231.163259
186.0,187,231.69273
