#{"t_start": 1787377567.471906, "env_id": "None"}
r,l,t
-7.0,357,3.072974
-6.0,358,5.187393
-17.0,352,6.750205
0.0,354,8.143353
-11.0,356,9.68293
-4.0,351,11.512126
-9.0,361,13.006166
0.0,353,15.585194
-14.0,363,17.942357
-6.0,355,19.572583
-5.0,350,21.166681
-13.0,371,23.266734
-7.0,370,25.979803
-7.0,373,27.765043
-13.0,361,29.61514
-16.0,364,31.268219
-17.0,374,33.03858
-16.0,370,34.72815
-13.0,377,36.481062
-15.0,372,38.313878
-15.0,373,40.046694
-13.0,374,41.867704
-4.0,363,43.98552
-3.0,357,45.57203
-12.0,378,47.232116
-12.0,362,49.021921
-12.0,369,51.273505
-13.0,366,53.112186
-2.0,364,54.872358
-12.0,365,56.800955
-1.0,357,58.525973
-5.0,362,60.122915
-15.0,355,61.839339
-7.0,365,63.631048
0.0,352,64.947993
-10.0,361,66.740654
-15.0,353,68.283795
-1.0,348,69.639295
-8.0,360,71.582577
-4.0,354,73.272895
-6.0,360,74.991648
-13.0,356,76.636174
-14.0,350,78.437823
-12.0,359,80.561045
-4.0,360,82.032326
-9.0,354,83.74842
-17.0,359,85.322707
-15.0,364,86.795556
-10.0,364,88.606906
-13.0,357,90.178801
-15.0,357,91.609029
-10.0,358,93.175187
-13.0,357,94.719864
-14.0,358,96.540276
-4.0,359,97.905648
-13.0,345,99.431994
-12.0,356,101.023051
-12.0,356,102.521856
-8.0,350,104.327809
-11.0,354,106.083165
-12.0,355,107.624076
-10.0,347,109.345991
-6.0,346,111.135286
-9.0,340,112.717658
-5.0,344,114.482243
-10.0,345,116.401687
-13.0,342,117.846324
-17.0,342,119.667308
-15.0,338,121.353937
-11.0,341,122.829642
-17.0,341,124.62852
-10.0,344,126.248707
-17.0,337,127.646892
-2.0,343,129.318679
-8.0,346,130.945277
-7.0,348,132.388419
-12.0,344,134.072102
-9.0,345,135.678193
-13.0,340,137.220677
-5.0,347,139.068249
-7.0,348,140.843049
-2.0,349,142.512856
-16.0,347,144.224491
-8.0,346,145.881937
0.0,347,147.537873
-14.0,348,149.00629
-6.0,347,150.628546
-10.0,349,152.270563
-15.0,341,153.667793
-15.0,346,155.304438
-10.0,350,156.913114
-6.0,355,158.387131
-8.0,346,160.004506
-10.0,347,161.649091
-14.0,357,163.26183
-8.0,343,164.793876
-10.0,349,166.428265
-9.0,342,167.89053
-14.0,353,169.605734
-13.0,347,171.259282
0.0,345,172.682948
-12.0,348,174.272476
-15.0,348,175.863116
-1.0,347,177.347041
-13.0,346,179.126852
-15.0,347,180.802694
-13.0,349,182.652825
-11.0,344,184.479872
-15.0,344,186.089009
-10.0,342,187.660654
-17.0,347,189.319127
-16.0,346,191.019809
-5.0,338,192.425056
-15.0,337,194.348973
-12.0,351,196.352804
-15.0,330,197.79291
-13.0,336,199.551309
-1.0,338,201.328216
-13.0,345,202.83367
-9.0,340,204.804545
-2.0,343,206.663603
-6.0,347,208.266277
-7.0,349,210.017682
-14.0,349,211.734067
-4.0,340,213.392264
-6.0,349,214.900162
-11.0,345,216.577452
-14.0,342,218.234466
-8.0,346,219.731519
-4.0,342,221.467125
-14.0,347,223.286626
-6.0,347,224.901711
-16.0,343,226.96984
-9.0,336,228.826383
-13.0,344,230.40541
-13.0,349,232.184738
-4.0,348,233.879619
-8.0,346,235.389171
-9.0,344,237.066493
0.0,342,238.737296
-11.0,338,240.241155
-4.0,351,241.940718
-16.0,348,243.682193
-8.0,340,245.131643
-10.0,345,246.863792
-12.0,348,248.477495
-6.0,348,250.001285
0.0,348,251.796433
-3.0,345,253.472163
-11.0,353,255.076774
-13.0,343,256.653717
-1.0,340,258.309232
-14.0,349,259.784918
-14.0,346,261.480241
-10.0,343,263.158946
-4.0,337,264.657486
-14.0,348,266.33333
-8.0,341,268.013384
-2.0,340,269.45198
-10.0,336,271.130966
-15.0,344,272.817065
-12.0,342,274.321356
-12.0,341,275.998041
-4.0,342,277.671973
-11.0,347,279.256208
-11.0,339,280.848586
-16.0,340,282.529893
-14.0,342,284.032676
0.0,336,285.716861
-11.0,344,287.409
-7.0,337,288.916939
-10.0,343,290.592825
-8.0,338,292.301133
-12.0,343,293.83505
-16.0,344,295.514666
-8.0,341,297.195893
-8.0,342,298.772934
-16.0,343,300.458746
-1.0,338,302.138821
-13.0,345,303.692089
