#{"t_start": 1786207695.456351, "env_id": "None"}
r,l,t
184.0,185,0.65941
182.0,183,1.213456
183.0,184,1.905319
184.0,185,2.399901
183.0,184,3.188168
172.0,173,4.289237
172.0,173,5.079293
182.0,183,5.916479
184.0,185,6.712222
183.0,184,7.315166
187.0,188,8.165542
181.0,182,9.192418
183.0,184,10.014213
181.0,182,10.516485
175.0,176,11.201266
178.0,179,12.213999
175.0,176,14.217831
181.0,182,15.083927
179.0,180,15.669052
176.0,177,16.355019
181.0,182,16.860452
183.0,184,17.357761
179.0,180,18.104079
179.0,180,18.597017
171.0,172,19.036656
177.0,178,19.665447
175.0,176,20.169823
183.0,184,20.947196
180.0,181,22.070478
174.0,175,22.605211
177.0,178,23.418863
178.0,179,24.537088
181.0,182,25.159049
178.0,179,25.650993
176.0,177,26.869905
181.0,182,27.699762
183.0,184,29.030958
182.0,183,29.975658
183.0,184,30.488899
183.0,184,31.795135
182.0,183,32.671431
168.0,169,33.215091
187.0,188,34.530023
178.0,179,35.375944
176.0,177,35.928102
180.0,181,36.609404
176.0,177,37.115439
171.0,172,37.721422
180.0,181,38.766155
177.0,178,39.407004
179.0,180,39.907498
176.0,177,40.870945
177.0,178,41.564293
180.0,181,42.330308
184.0,185,43.154213
180.0,181,43.7801
184.0,185,44.613881
179.0,180,45.079053
179.0,180,45.524059
182.0,183,46.231991
180.0,181,47.038408
181.0,182,47.653679
178.0,179,48.525781
185.0,186,49.145187
179.0,180,49.752057
176.0,177,50.374267
179.0,180,50.821761
182.0,183,51.370024
184.0,185,52.081742
186.0,187,52.578405
182.0,183,53.242404
182.0,183,53.68658
182.0,183,54.160649
184.0,185,54.801409
180.0,181,55.263955
178.0,179,55.832406
179.0,180,56.821485
180.0,181,57.6345
176.0,177,58.13596
181.0,182,59.13797
187.0,188,59.93532
184.0,185,60.603149
182.0,183,61.445265
170.0,171,62.103661
176.0,177,62.925031
181.0,182,63.50088
182.0,183,64.192118
182.0,183,65.297978
184.0,185,66.06004
177.0,178,66.706745
187.0,188,67.628001
179.0,180,68.237724
184.0,185,68.924341
185.0,186,69.708331
180.0,181,70.150226
184.0,185,70.607562
181.0,182,71.252059
184.0,185,71.763162
181.0,182,72.410443
185.0,186,72.863363
181.0,182,73.301447
184.0,185,73.931675
182.0,183,74.384119
173.0,174,75.023607
181.0,182,75.973406
179.0,180,76.41514
187.0,188,76.855392
184.0,185,77.485712
184.0,185,77.924426
178.0,179,78.361024
178.0,179,78.974826
180.0,181,79.413652
180.0,181,79.835481
181.0,182,80.516025
179.0,180,80.942226
180.0,181,81.557087
176.0,177,81.997763
177.0,178,82.427738
183.0,184,83.050477
181.0,182,83.472981
186.0,187,83.913921
183.0,184,84.524384
182.0,183,84.97386
180.0,181,85.404112
183.0,184,86.016573
178.0,179,86.449656
182.0,183,86.893955
183.0,184,87.492533
184.0,185,87.962329
179.0,180,88.590395
184.0,185,89.057719
180.0,181,89.511504
181.0,182,90.194795
179.0,180,90.649039
180.0,181,91.114259
182.0,183,91.753562
178.0,179,92.232083
179.0,180,92.679347
181.0,182,93.327064
186.0,187,93.791282
180.0,181,94.289538
178.0,179,95.460154
179.0,180,96.239272
181.0,182,97.07277
183.0,184,97.631974
183.0,184,98.520351
180.0,181,99.554694
179.0,180,100.264763
182.0,183,100.99238
175.0,176,101.850968
184.0,185,102.453438
180.0,181,103.228677
180.0,181,104.071447
184.0,185,104.951798
183.0,184,105.717634
182.0,183,106.556392
185.0,186,107.028729
184.0,185,107.4869
178.0,179,108.149123
187.0,188,108.636023
187.0,188,109.349826
185.0,186,110.046651
184.0,185,111.046422
178.0,179,111.958953
178.0,179,112.663575
180.0,181,113.39728
187.0,188,114.129584
185.0,186,114.847463
177.0,178,115.468237
173.0,174,116.233313
171.0,172,116.68199
184.0,185,117.12716
178.0,179,117.737527
184.0,185,118.220446
185.0,186,118.890374
181.0,182,119.378811
189.0,190,119.890067
187.0,188,120.571994
180.0,181,121.046905
180.0,181,121.588441
181.0,182,122.377346
170.0,171,122.826166
170.0,171,123.269045
185.0,186,123.903434
185.0,186,124.364472
178.0,179,124.85646
177.0,178,125.464089
181.0,182,125.964181
184.0,185,126.66658
187.0,188,127.127481
183.0,184,127.613803
180.0,181,128.218655
186.0,187,128.68091
184.0,185,129.238643
173.0,174,129.996322
184.0,185,130.489781
184.0,185,130.992214
182.0,183,131.666198
186.0,187,132.148223
183.0,184,132.656759
185.0,186,133.377858
183.0,184,134.132185
187.0,188,135.438379
178.0,179,136.312606
178.0,179,136.783263
178.0,179,137.521794
186.0,187,138.106079
177.0,178,138.59049
181.0,182,139.252417
187.0,188,139.762693
185.0,186,140.259204
186.0,187,140.988525
187.0,188,141.450755
190.0,191,142.175616
178.0,179,142.681677
185.0,186,143.192345
185.0,186,144.031961
188.0,189,144.565648
190.0,191,145.082083
190.0,191,145.775378
186.0,187,146.261236
191.0,192,146.752671
179.0,180,147.381571
182.0,183,147.877193
183.0,184,148.795076
180.0,181,149.724813
179.0,180,150.667957
176.0,177,151.404608
184.0,185,152.118583
183.0,184,152.858739
184.0,185,153.648921
184.0,185,154.395862
179.0,180,154.993966
185.0,186,155.809969
188.0,189,156.335642
190.0,191,156.840806
178.0,179,157.499743
180.0,181,157.945929
183.0,184,158.568505
185.0,186,159.119926
187.0,188,159.689786
184.0,185,160.375358
185.0,186,160.841917
179.0,180,161.302987
181.0,182,161.930285
187.0,188,162.404344
186.0,187,162.8713
180.0,181,163.542618
182.0,183,164.408471
185.0,186,165.142242
174.0,175,165.806218
187.0,188,166.27082
182.0,183,166.889807
185.0,186,167.342782
187.0,188,167.879973
191.0,192,168.709269
185.0,186,169.692918
188.0,189,170.878018
183.0,184,171.733525
185.0,186,172.255991
188.0,189,172.927418
181.0,182,173.687115
185.0,186,174.223533
188.0,189,175.961784
187.0,188,176.74098
185.0,186,177.254821
182.0,183,178.409218
189.0,190,179.268372
182.0,183,180.024053
181.0,182,181.226618
180.0,181,181.974786
182.0,183,182.57971
186.0,187,183.526962
180.0,181,184.268016
180.0,181,185.241544
186.0,187,185.989388
179.0,180,186.640641
183.0,184,187.303581
179.0,180,187.756516
179.0,180,188.23971
175.0,176,188.883887
177.0,178,189.357693
183.0,184,190.202446
167.0,168,191.079236
187.0,188,191.652427
185.0,186,192.136317
183.0,184,192.958447
183.0,184,193.685547
183.0,184,194.256949
189.0,190,195.423213
185.0,186,195.95826
188.0,189,196.622577
169.0,170,197.087183
180.0,181,197.556567
186.0,187,198.194262
175.0,176,198.658236
184.0,185,199.144486
182.0,183,200.106753
183.0,184,200.628675
191.0,192,201.13809
186.0,187,201.92035
186.0,187,202.425295
187.0,188,203.124713
189.0,190,203.688485
185.0,186,204.243596
189.0,190,205.043355
166.0,167,205.712787
186.0,187,206.729761
190.0,191,208.141959
184.0,185,208.861153
189.0,190,209.665794
176.0,177,210.554834
186.0,187,211.144783
183.0,184,211.912165
172.0,173,212.473736
180.0,181,212.996089
188.0,189,213.758159
176.0,177,214.289832
183.0,184,214.819445
181.0,182,215.622033
176.0,177,216.115867
183.0,184,216.666389
185.0,186,217.402488
181.0,182,218.031339
183.0,184,218.591308
188.0,189,219.336644
187.0,188,220.028824
