#{"t_start": 1787377567.4662778, "env_id": "None"}
r,l,t
-9.0,352,2.764013
-15.0,354,4.965387
-14.0,355,6.574792
-16.0,355,8.00554
-10.0,360,9.625113
-4.0,354,11.582411
-10.0,364,13.133482
-15.0,363,15.810982
-3.0,360,18.068053
-14.0,355,19.760064
-16.0,362,21.388367
-8.0,370,23.542528
-14.0,361,26.189267
-2.0,370,27.851812
-7.0,370,29.869048
-12.0,368,31.506963
-11.0,367,33.223014
-17.0,374,35.020668
-5.0,374,36.704527
-15.0,365,38.526141
-14.0,378,40.217703
-3.0,364,42.011284
-12.0,362,44.07474
-13.0,362,45.776977
-7.0,373,47.319574
-10.0,371,49.23296
-11.0,371,51.482667
-7.0,367,53.357313
-11.0,356,55.108217
-15.0,363,56.906556
-10.0,357,58.672859
-15.0,361,60.210601
-9.0,360,61.930353
-16.0,360,63.72156
-15.0,351,65.028902
-2.0,351,66.583694
-12.0,361,68.368631
-7.0,353,69.767626
-4.0,354,71.661899
-13.0,358,73.349217
-4.0,352,74.937179
-14.0,353,76.575364
-12.0,356,78.528231
-16.0,356,80.487347
-11.0,360,81.983628
-13.0,356,83.753123
-17.0,362,85.393683
-14.0,365,86.863442
-15.0,364,88.679215
-9.0,359,90.249962
-5.0,361,91.694179
-9.0,356,93.254331
-17.0,361,94.865324
-13.0,357,96.634607
-11.0,359,97.994626
-2.0,357,99.562398
0.0,355,101.14166
-1.0,357,102.689449
-13.0,349,104.512691
-13.0,353,106.266953
-3.0,344,107.720046
0.0,340,109.418874
-7.0,346,111.220741
-13.0,342,112.855969
-2.0,344,114.564646
-12.0,344,116.482864
-6.0,336,117.787976
-13.0,343,119.607962
-7.0,347,121.442638
-4.0,343,122.926558
-17.0,339,124.718391
-11.0,349,126.356999
-3.0,338,127.749808
-12.0,346,129.430225
-11.0,346,131.060791
-8.0,340,132.528955
-13.0,338,134.141038
-12.0,350,135.817148
-16.0,344,137.31584
-7.0,350,139.333797
-5.0,351,141.010461
-11.0,347,142.673652
-4.0,343,144.38787
-9.0,346,146.036751
-15.0,348,147.698671
-6.0,350,149.164164
-14.0,346,150.729946
-7.0,344,152.358841
-5.0,351,153.846943
-10.0,352,155.490885
-7.0,353,157.110199
-9.0,344,158.547878
-13.0,342,160.16284
-9.0,346,161.796226
-17.0,338,163.13582
-10.0,352,164.86059
-14.0,349,166.549377
-9.0,346,167.976082
-9.0,340,169.478662
-6.0,347,171.130574
-3.0,350,172.628194
-14.0,350,174.279167
-14.0,353,175.996413
-6.0,342,177.350048
-9.0,345,179.065425
-12.0,346,180.737744
-5.0,340,182.563884
-11.0,352,184.415317
-13.0,352,186.165395
-15.0,335,187.593889
-10.0,342,189.171338
-2.0,341,190.741407
-12.0,350,192.430983
-14.0,347,194.536111
-3.0,348,196.443833
-1.0,347,198.33585
0.0,343,199.912223
-17.0,348,201.720617
-11.0,350,203.618136
-8.0,344,205.35187
-17.0,340,206.939748
0.0,340,208.677862
-13.0,343,210.242341
-5.0,333,211.849053
-8.0,344,213.520468
-14.0,348,215.028692
-9.0,342,216.693037
-17.0,347,218.36454
-10.0,342,219.851568
-14.0,340,221.581287
-16.0,338,223.375745
-11.0,340,224.968039
-17.0,334,226.890776
-3.0,340,228.756835
-7.0,346,230.344499
-15.0,333,232.01353
-13.0,340,233.691384
-10.0,347,235.205795
-13.0,341,236.866494
-14.0,348,238.557174
-10.0,348,240.154206
-9.0,338,241.758087
-14.0,345,243.430359
-8.0,349,244.959837
-17.0,345,246.696246
0.0,345,248.359525
-11.0,342,249.864522
-4.0,344,251.524418
-17.0,342,253.194609
-10.0,343,254.710641
-5.0,339,256.318858
-11.0,339,257.989168
-14.0,346,259.499015
-14.0,347,261.200878
-14.0,344,262.899163
-15.0,336,264.393494
-13.0,345,266.060687
-10.0,337,267.729578
0.0,345,269.236185
-14.0,346,270.947475
-11.0,343,272.626687
-14.0,344,274.141554
-7.0,343,275.818412
-10.0,343,277.499455
-11.0,343,279.022834
-10.0,345,280.685294
-15.0,340,282.358085
-11.0,337,283.846655
-14.0,344,285.561144
-10.0,339,287.234202
-12.0,338,288.748538
-2.0,341,290.414049
-12.0,339,292.092629
-17.0,333,293.630273
-9.0,335,295.226679
-17.0,349,296.989723
-4.0,345,298.521403
-9.0,342,300.196631
-14.0,340,301.883569
-4.0,340,303.424179
