#{"t_start": 1787356050.436674, "env_id": "None"}
r,l,t
-4.0,631,3.767534
-7.0,637,6.803003
-3.0,642,10.032091
-9.0,654,14.056618
-4.0,636,16.994383
-3.0,633,20.22524
-3.0,651,23.697933
-7.0,663,27.396029
-2.0,643,30.737256
-5.0,685,34.286156
-5.0,695,38.088065
-7.0,715,41.7117
-7.0,655,45.17123
-3.0,670,48.603097
-10.0,652,52.017026
-8.0,663,55.332026
-4.0,683,58.900215
-7.0,677,62.505889
0.0,692,66.280435
-4.0,665,69.568694
-6.0,664,73.102939
-3.0,677,76.663703
-4.0,670,80.053264
-1.0,692,83.532576
-3.0,715,87.433658
-9.0,711,91.260451
0.0,710,95.39284
-7.0,669,98.968845
-2.0,650,102.622506
-5.0,663,106.402164
-4.0,647,109.8768
-10.0,656,113.417824
-1.0,648,116.766688
-10.0,708,120.578735
-7.0,658,123.672072
-7.0,640,127.04409
-2.0,670,130.374532
-8.0,647,133.838842
-2.0,641,137.29947
-9.0,663,140.948892
-5.0,644,144.125416
-5.0,674,147.793736
-4.0,671,150.990782
-10.0,644,154.320094
-1.0,674,158.027142
-7.0,673,161.145708
-1.0,678,164.433664
-3.0,689,167.548809
-10.0,711,170.672507
-6.0,664,173.791699
-2.0,701,177.080832
-4.0,661,180.676724
-3.0,670,184.034998
-8.0,678,187.481076
-2.0,693,190.963647
-8.0,690,194.186218
-8.0,706,197.594744
-9.0,710,201.079343
-7.0,659,204.143924
-4.0,709,207.330993
-6.0,672,210.41796
-10.0,697,213.698407
-10.0,701,216.890206
-8.0,695,220.131684
-5.0,698,223.723151
-5.0,670,227.078891
-7.0,668,230.607708
-5.0,684,233.889447
-9.0,680,237.151077
-4.0,676,240.630068
-6.0,673,243.958636
-5.0,654,247.029212
-8.0,646,250.137244
-5.0,654,253.322565
-2.0,642,256.464844
-9.0,635,259.481452
-2.0,655,262.796647
-7.0,659,266.06791
-7.0,678,269.403113
-3.0,655,272.521024
-8.0,655,275.847546
-9.0,632,279.011833
-10.0,639,282.548679
-3.0,650,285.737355
-5.0,658,289.145624
-1.0,666,292.345401
-5.0,649,295.31905
-6.0,652,298.446767
-4.0,658,301.845003
-9.0,626,304.830206
0.0,631,307.823344
-4.0,646,310.983836
-6.0,671,314.272718
-5.0,654,317.403171
