#{"t_start": 1787356050.434975, "env_id": "None"}
r,l,t
-3.0,628,3.624325
-5.0,631,6.680951
-1.0,640,9.879881
-8.0,658,13.630623
-10.0,656,17.502199
-2.0,628,20.375849
-4.0,654,24.005443
-10.0,663,27.662641
-10.0,687,31.311343
-5.0,698,35.251937
-10.0,716,39.217138
-8.0,671,42.561616
-5.0,624,45.309691
-4.0,656,48.593642
-6.0,689,52.366018
-10.0,686,55.930984
0.0,674,59.591547
-5.0,668,63.187111
-10.0,694,66.859654
-10.0,657,69.806911
-9.0,652,73.292887
-7.0,699,76.956242
-4.0,711,80.533217
-10.0,731,84.610388
-4.0,716,88.47148
-6.0,712,92.466255
-5.0,712,96.410993
-5.0,661,99.880767
-8.0,657,103.664155
-5.0,656,107.153658
-9.0,642,110.662071
-6.0,677,114.20357
-10.0,675,118.061273
-2.0,658,121.345867
-6.0,679,124.528712
-7.0,687,128.228448
-10.0,668,131.673182
-10.0,671,135.28243
-2.0,648,138.638253
-6.0,642,142.163556
-1.0,645,145.514169
-8.0,644,148.830886
-10.0,644,152.085706
-3.0,657,155.473182
-4.0,688,158.973797
-2.0,644,162.069074
-10.0,655,164.963429
-3.0,697,168.195221
-7.0,704,171.440403
-9.0,683,174.615151
-8.0,687,178.137783
-2.0,685,181.712593
-10.0,688,185.168532
-4.0,700,188.648035
-9.0,701,192.149843
-9.0,705,195.503085
-7.0,726,198.880012
-4.0,733,202.384138
-8.0,717,205.602275
-1.0,706,208.940058
-4.0,684,212.021562
-9.0,677,215.12046
-1.0,689,218.468106
-6.0,697,221.928805
0.0,673,225.23916
-8.0,669,228.631005
-10.0,700,232.160709
-1.0,690,235.460838
-3.0,649,238.824032
-4.0,675,242.152756
-5.0,664,245.265971
-1.0,640,248.437755
-1.0,640,251.512731
-9.0,652,254.558672
-3.0,645,257.675526
-1.0,634,260.94663
-1.0,639,264.031051
-10.0,649,267.146084
-3.0,664,270.45744
-4.0,665,273.815434
-9.0,651,276.964585
-1.0,639,280.161784
-4.0,627,283.614291
-9.0,624,286.825937
-3.0,630,289.878988
-10.0,651,292.957222
-9.0,634,295.971938
0.0,639,299.236334
-6.0,651,302.34049
-6.0,643,305.477545
-8.0,646,308.653806
-8.0,649,311.91371
0.0,658,315.023017
-6.0,661,318.182007
