#{"t_start": 1786207508.067301, "env_id": "None"}
r,l,t
178.0,179,1.626158
185.0,186,2.169624
182.0,183,3.160627
189.0,190,3.750482
189.0,190,4.202171
177.0,178,4.821045
182.0,183,5.280742
182.0,183,5.712684
179.0,180,6.288848
187.0,188,6.733265
187.0,188,7.220259
179.0,180,7.759351
168.0,169,8.094032
179.0,180,8.462947
189.0,190,9.036972
186.0,187,9.420283
186.0,187,9.887109
183.0,184,10.279142
184.0,185,10.667981
185.0,186,11.147664
187.0,188,11.503463
184.0,185,11.852575
181.0,182,12.319056
183.0,184,12.684305
184.0,185,13.034159
182.0,183,13.515231
183.0,184,13.870888
176.0,177,14.551638
184.0,185,15.182286
183.0,184,15.673881
177.0,178,16.284965
186.0,187,16.63936
183.0,184,17.371243
185.0,186,18.367321
183.0,184,18.811911
183.0,184,19.246125
183.0,184,20.037853
185.0,186,20.559962
183.0,184,21.20599
184.0,185,21.605422
181.0,182,22.011655
181.0,182,22.767899
185.0,186,23.331861
179.0,180,23.769422
185.0,186,24.544349
183.0,184,25.909963
177.0,178,26.603564
180.0,181,27.356706
182.0,183,28.111657
179.0,180,28.784631
186.0,187,29.950038
181.0,182,30.445218
181.0,182,30.828999
185.0,186,31.485037
184.0,185,32.104842
188.0,189,32.977979
186.0,187,33.427056
191.0,192,34.23234
188.0,189,35.075612
186.0,187,35.659131
179.0,180,36.070182
183.0,184,37.073983
185.0,186,38.027193
185.0,186,39.555972
179.0,180,40.069578
186.0,187,40.433248
186.0,187,41.203722
187.0,188,41.659431
175.0,176,42.077519
180.0,181,42.950974
184.0,185,43.51553
181.0,182,44.141039
182.0,183,44.655812
181.0,182,45.316393
177.0,178,46.128038
182.0,183,47.400402
184.0,185,47.977708
187.0,188,48.737914
183.0,184,49.122437
186.0,187,49.492403
186.0,187,50.364689
186.0,187,50.908011
185.0,186,51.373375
185.0,186,51.916383
176.0,177,52.314038
185.0,186,52.724828
184.0,185,53.305204
188.0,189,53.771376
182.0,183,54.244185
184.0,185,55.493745
184.0,185,56.172937
183.0,184,56.750853
179.0,180,57.07725
185.0,186,57.448022
188.0,189,58.022772
183.0,184,58.667853
182.0,183,59.162848
184.0,185,59.792199
178.0,179,60.172617
190.0,191,60.584231
188.0,189,61.512664
190.0,191,62.096824
189.0,190,63.010782
190.0,191,63.638923
188.0,189,64.18713
179.0,180,64.782203
181.0,182,65.528719
183.0,184,66.64771
194.0,195,67.690662
191.0,192,68.078789
188.0,189,68.597779
192.0,193,69.061679
188.0,189,69.466201
185.0,186,70.100336
179.0,180,70.449297
184.0,185,70.921934
180.0,181,71.913026
186.0,187,72.638137
186.0,187,73.146186
181.0,182,73.755776
182.0,183,74.111453
180.0,181,74.438456
187.0,188,74.909082
179.0,180,75.24476
182.0,183,75.719316
183.0,184,76.056659
187.0,188,76.43185
177.0,178,76.889074
184.0,185,77.228453
183.0,184,77.565278
180.0,181,78.017749
183.0,184,78.358291
187.0,188,78.741109
181.0,182,79.210687
182.0,183,79.549848
182.0,183,80.031261
185.0,186,80.375996
179.0,180,80.6821
178.0,179,81.142208
179.0,180,81.453516
194.0,195,81.812484
181.0,182,82.283053
192.0,193,82.647145
188.0,189,82.996601
190.0,191,83.4596
179.0,180,83.768542
192.0,193,84.279742
194.0,195,84.67119
193.0,194,85.034891
181.0,182,85.51161
187.0,188,85.883018
182.0,183,86.214599
193.0,194,86.71251
187.0,188,87.062707
189.0,190,87.473894
190.0,191,88.082575
192.0,193,88.683058
196.0,197,89.492329
193.0,194,89.890504
191.0,192,90.26542
193.0,194,90.790713
184.0,185,91.15301
196.0,197,91.544608
190.0,191,92.074023
189.0,190,92.434922
183.0,184,92.917504
192.0,193,93.272949
193.0,194,93.648601
182.0,183,94.19101
180.0,181,94.634654
185.0,186,95.153039
187.0,188,96.042955
187.0,188,96.454952
192.0,193,97.03419
192.0,193,97.442007
190.0,191,97.855754
193.0,194,98.36847
185.0,186,98.710305
188.0,189,99.103477
183.0,184,99.611062
194.0,195,100.104406
195.0,196,100.98091
193.0,194,101.595655
191.0,192,102.006301
185.0,186,102.699935
200.0,201,103.244773
190.0,191,103.783191
188.0,189,105.318367
187.0,188,105.924691
188.0,189,106.472495
191.0,192,106.984265
182.0,183,107.33761
186.0,187,107.835302
188.0,189,108.261642
181.0,182,108.733577
189.0,190,109.488718
185.0,186,110.108636
183.0,184,110.670568
191.0,192,111.481198
189.0,190,112.277373
187.0,188,112.896768
191.0,192,113.470545
189.0,190,114.051145
187.0,188,115.006079
190.0,191,115.401582
179.0,180,115.76304
187.0,188,116.371045
182.0,183,116.776913
178.0,179,117.139017
185.0,186,117.715296
186.0,187,118.166343
191.0,192,118.700199
189.0,190,119.087328
191.0,192,119.50327
190.0,191,120.345233
184.0,185,121.018078
192.0,193,121.417285
186.0,187,121.941702
186.0,187,122.322085
184.0,185,122.683415
188.0,189,123.183238
188.0,189,123.571941
189.0,190,124.07301
