#{"t_start": 1787356050.400482, "env_id": "None"}
r,l,t
-10.0,634,4.056766
-4.0,643,7.063136
-10.0,619,9.801601
-8.0,650,13.382166
-6.0,658,17.182095
-8.0,640,20.538291
-8.0,646,23.881231
-3.0,655,27.31221
-2.0,656,30.947599
-5.0,691,34.495007
-6.0,676,37.870996
-6.0,690,41.407387
-3.0,673,45.059817
-7.0,677,48.498184
-5.0,656,52.173646
-4.0,675,55.552303
-7.0,654,58.760634
-2.0,658,62.316948
-2.0,646,65.851533
-6.0,689,69.194283
-6.0,663,72.758827
-10.0,707,76.316776
-9.0,682,79.830118
-2.0,688,83.358962
-9.0,685,86.993757
-8.0,688,90.730522
-5.0,691,94.810429
-5.0,665,98.473107
-1.0,658,101.943263
-10.0,620,105.43757
-9.0,658,109.143473
-4.0,635,112.489725
-8.0,661,116.143015
0.0,648,119.514949
-10.0,697,123.030197
-10.0,684,126.500086
-6.0,674,129.874653
-10.0,648,133.312102
-5.0,655,136.829608
-8.0,648,140.245353
-4.0,640,143.630439
0.0,646,147.156223
-4.0,650,150.306859
0.0,637,153.44257
-7.0,640,157.023853
-7.0,639,160.153097
-5.0,680,163.247849
-8.0,682,166.432276
-2.0,668,169.44005
-2.0,675,172.50723
-3.0,699,175.892864
-2.0,661,179.418514
-8.0,674,182.713696
-10.0,693,186.200193
0.0,655,189.709977
-4.0,729,193.11534
-10.0,720,196.644635
-5.0,676,199.928511
-4.0,672,203.037751
-6.0,685,206.257524
-3.0,675,209.380753
-10.0,727,212.621098
-5.0,671,215.809504
-5.0,698,219.074463
-6.0,679,222.461365
-1.0,691,225.973344
-7.0,677,229.555936
-10.0,685,232.741869
-8.0,676,236.126452
-10.0,705,239.686075
-9.0,695,242.958328
-6.0,683,246.249408
-7.0,669,249.417625
-4.0,640,252.458817
-10.0,652,255.643312
-7.0,625,258.722158
-3.0,626,261.8211
-8.0,650,264.98067
-7.0,625,268.097739
-7.0,653,271.352236
-9.0,660,274.576439
-3.0,644,277.730375
-4.0,647,281.389619
-5.0,626,284.523164
0.0,646,287.671398
-8.0,662,290.824714
-10.0,645,294.021118
-7.0,655,297.10775
-3.0,652,300.290122
-5.0,641,303.378514
-3.0,635,306.628124
-4.0,643,309.796173
-8.0,655,312.920037
-2.0,692,316.270621
