#{"t_start": 1787356050.411262, "env_id": "None"}
r,l,t
-6.0,639,4.430197
-4.0,646,7.291848
-5.0,628,10.198159
-1.0,647,13.78777
-4.0,647,17.357985
-5.0,647,20.91325
-8.0,674,24.774708
-7.0,659,28.060404
-1.0,661,31.476461
-8.0,687,35.093547
-5.0,688,38.793626
-2.0,697,42.42488
-4.0,657,45.634506
-7.0,678,49.3089
-7.0,657,52.660176
-8.0,673,55.951735
-8.0,653,59.300548
-3.0,678,62.896589
-5.0,657,66.180201
-4.0,656,69.44689
-3.0,648,72.930624
-5.0,695,76.522196
-10.0,672,79.939606
-9.0,704,83.698308
-3.0,677,87.182512
-8.0,695,90.945302
-4.0,679,94.951943
-9.0,667,98.6122
-1.0,655,102.098032
-5.0,646,105.669112
-7.0,664,109.408012
-5.0,663,112.922692
-10.0,662,116.481232
-8.0,669,120.00361
-3.0,701,123.426531
-6.0,673,126.904618
-1.0,665,130.205743
-9.0,666,133.728285
-9.0,633,137.166792
-7.0,657,140.649936
-6.0,643,143.985284
-7.0,637,147.502732
-6.0,651,150.644295
-9.0,645,153.976055
-8.0,652,157.56832
-2.0,698,160.740125
-5.0,685,163.850222
-5.0,694,167.103652
0.0,686,170.130945
-3.0,670,173.35398
-6.0,678,176.508119
-5.0,695,180.236671
-7.0,673,183.461882
-8.0,690,187.110247
-5.0,686,190.529989
-7.0,689,193.913158
-10.0,727,197.381707
-9.0,697,200.736732
-4.0,676,203.953239
-5.0,705,207.093079
-6.0,709,210.328145
-2.0,682,213.559741
-5.0,696,216.738864
-6.0,702,219.990971
-5.0,678,223.519994
-5.0,653,226.819587
-4.0,676,230.363362
-5.0,660,233.580199
-4.0,695,236.893877
-10.0,696,240.439172
0.0,643,243.65946
-8.0,655,246.736824
-10.0,657,249.875783
-1.0,641,252.905285
-9.0,638,256.041258
-3.0,628,259.132443
-8.0,633,262.278323
-2.0,631,265.341659
-2.0,641,268.676292
-1.0,643,271.742005
-9.0,661,274.96675
-5.0,643,278.135988
-5.0,646,281.819527
-5.0,623,284.903464
-4.0,632,288.013929
-5.0,644,291.085031
-3.0,628,294.21977
-8.0,667,297.368933
-8.0,658,300.570584
0.0,643,303.663212
-7.0,642,306.94525
-6.0,653,310.137764
-8.0,651,313.237016
-5.0,687,316.563988
