#{"t_start": 1787356050.429308, "env_id": "None"}
r,l,t
-5.0,635,4.151555
-8.0,636,6.920431
-1.0,643,10.301636
-7.0,625,13.205197
-1.0,639,16.660987
-6.0,652,20.113552
-4.0,653,23.589673
-5.0,667,27.523839
-6.0,673,31.108934
-5.0,687,34.636032
-8.0,708,38.643444
-1.0,668,41.856419
-7.0,679,45.44915
-10.0,678,49.01836
-6.0,685,52.932372
-9.0,663,56.080424
-6.0,659,59.451193
-8.0,670,63.023858
-3.0,685,66.584651
-8.0,685,70.278999
-3.0,692,73.908578
-2.0,662,77.249286
-7.0,705,80.686724
-10.0,713,84.355094
-3.0,717,88.341299
0.0,699,92.282441
-2.0,681,96.128828
-7.0,676,99.598872
-8.0,654,103.407781
-4.0,657,106.919218
-8.0,670,110.471037
-8.0,656,113.989628
-3.0,668,117.695683
-2.0,684,121.182544
-3.0,674,124.343917
-5.0,658,127.965737
-4.0,675,131.435024
-2.0,670,134.925106
-2.0,667,138.38118
-4.0,634,141.855938
-3.0,623,145.165544
0.0,669,148.540913
-8.0,665,151.978016
-3.0,658,155.3259
-9.0,649,158.625725
-6.0,645,161.621735
-2.0,662,164.769886
-7.0,679,167.851259
-4.0,696,170.929225
-10.0,652,174.105695
-8.0,702,177.424336
-5.0,696,181.140342
-3.0,681,184.670111
-3.0,685,187.999232
-7.0,689,191.463021
-7.0,703,194.946221
-4.0,710,198.264681
-4.0,707,201.715933
-9.0,688,204.955257
0.0,679,207.934747
-5.0,673,211.166012
-2.0,707,214.349112
-7.0,672,217.465787
-5.0,671,220.692831
-6.0,674,224.056744
-8.0,682,227.425035
-9.0,638,230.891827
-4.0,687,234.055951
-10.0,699,237.470769
-5.0,682,241.114345
-8.0,703,244.492559
0.0,683,247.650721
-1.0,652,250.910299
-8.0,653,253.961169
-8.0,662,257.14788
-7.0,641,260.231285
-10.0,645,263.529985
-10.0,625,266.572472
0.0,650,269.825574
-7.0,669,273.063661
-7.0,632,276.228995
-1.0,642,279.457605
-4.0,647,282.999732
-7.0,626,286.100873
-2.0,632,289.311257
-9.0,641,292.244737
-5.0,667,295.466969
-6.0,661,298.649037
-3.0,634,301.753901
-9.0,644,304.989818
-1.0,634,308.114562
-1.0,664,311.306988
-7.0,680,314.621126
-5.0,617,317.621309
