#{"t_start": 1786207508.11644, "env_id": "None"}
r,l,t
181.0,182,1.636091
189.0,190,2.200292
184.0,185,3.199226
180.0,181,3.701343
183.0,184,4.082311
186.0,187,4.79228
182.0,183,5.265889
184.0,185,5.699607
187.0,188,6.312184
182.0,183,6.725784
174.0,175,7.133095
180.0,181,7.685879
182.0,183,8.130728
187.0,188,8.660159
187.0,188,9.057511
179.0,180,9.409524
182.0,183,9.855933
186.0,187,10.264374
185.0,186,10.649453
187.0,188,11.135895
184.0,185,11.489323
180.0,181,11.836417
186.0,187,12.307555
178.0,179,12.653754
187.0,188,13.006289
184.0,185,13.502064
178.0,179,13.839527
184.0,185,14.557796
182.0,183,15.164918
186.0,187,15.674675
181.0,182,16.29495
176.0,177,16.64319
180.0,181,17.345315
182.0,183,18.347827
182.0,183,18.762895
174.0,175,19.14064
181.0,182,19.868044
182.0,183,20.438879
186.0,187,20.982019
186.0,187,21.519642
185.0,186,21.932517
181.0,182,22.68298
185.0,186,23.235564
186.0,187,23.740802
177.0,178,24.450893
175.0,176,25.78554
179.0,180,26.488196
176.0,177,27.237566
181.0,182,27.916099
175.0,176,28.642417
186.0,187,29.800192
184.0,185,30.306866
188.0,189,30.731447
182.0,183,31.338133
184.0,185,31.948053
186.0,187,32.832054
184.0,185,33.329114
183.0,184,34.079481
185.0,186,34.914067
188.0,189,35.546639
186.0,187,35.97653
176.0,177,36.935767
181.0,182,37.842778
183.0,184,39.013278
181.0,182,39.921747
183.0,184,40.313684
177.0,178,41.042547
184.0,185,41.495656
189.0,190,41.945233
182.0,183,42.80833
188.0,189,43.332179
187.0,188,44.036582
188.0,189,44.543547
183.0,184,45.165271
178.0,179,46.010804
184.0,185,47.316326
184.0,185,47.871842
177.0,178,48.422192
181.0,182,49.019575
188.0,189,49.404085
179.0,180,50.22581
189.0,190,50.761878
185.0,186,51.257164
178.0,179,51.739491
177.0,178,52.160186
178.0,179,52.54147
182.0,183,53.154651
183.0,184,53.59376
187.0,188,54.022549
186.0,187,55.261233
177.0,178,55.948407
186.0,187,56.431163
185.0,186,56.924277
172.0,173,57.273146
184.0,185,57.748369
181.0,182,58.278801
174.0,175,58.821074
180.0,181,59.517721
183.0,184,59.982199
189.0,190,60.388439
188.0,189,61.249459
190.0,191,61.744107
185.0,186,62.440298
185.0,186,63.342443
192.0,193,63.939764
189.0,190,64.579097
186.0,187,65.065699
190.0,191,66.207687
188.0,189,67.467555
186.0,187,67.903271
187.0,188,68.282993
191.0,192,68.856282
186.0,187,69.28063
186.0,187,69.919839
182.0,183,70.273279
180.0,181,70.622535
187.0,188,71.606714
184.0,185,72.384815
182.0,183,72.907453
184.0,185,73.548571
186.0,187,73.9299
181.0,182,74.275609
190.0,191,74.751637
183.0,184,75.091136
186.0,187,75.442483
184.0,185,75.92305
182.0,183,76.265894
184.0,185,76.74513
186.0,187,77.086459
178.0,179,77.418563
175.0,176,77.858888
186.0,187,78.196574
191.0,192,78.579765
185.0,186,79.070466
190.0,191,79.427146
185.0,186,79.777243
188.0,189,80.264965
182.0,183,80.5972
188.0,189,81.05892
182.0,183,81.388194
179.0,180,81.72559
190.0,191,82.208619
188.0,189,82.554971
188.0,189,82.904853
193.0,194,83.373618
193.0,194,83.737663
193.0,194,84.261504
179.0,180,84.584257
188.0,189,84.938063
181.0,182,85.416635
188.0,189,85.79033
192.0,193,86.147847
192.0,193,86.626256
188.0,189,86.995372
180.0,181,87.32526
193.0,194,87.983956
179.0,180,88.551155
186.0,187,89.351045
188.0,189,89.727679
195.0,196,90.114595
190.0,191,90.626099
184.0,185,90.998897
187.0,188,91.370982
192.0,193,91.908827
189.0,190,92.282946
184.0,185,92.617315
193.0,194,93.119447
188.0,189,93.480104
191.0,192,94.030964
186.0,187,94.526671
191.0,192,95.019148
192.0,193,95.917772
194.0,195,96.368039
196.0,197,96.795203
194.0,195,97.357425
188.0,189,97.765331
194.0,195,98.282075
189.0,190,98.637976
187.0,188,99.032199
193.0,194,99.580349
187.0,188,100.035367
193.0,194,100.689688
191.0,192,101.501834
193.0,194,101.929685
191.0,192,102.669061
189.0,190,103.163592
198.0,199,103.710149
191.0,192,105.294874
185.0,186,105.857858
192.0,193,106.441195
194.0,195,106.958457
194.0,195,107.339763
187.0,188,107.856906
188.0,189,108.350103
189.0,190,108.771806
192.0,193,109.554009
180.0,181,110.163693
182.0,183,110.766821
187.0,188,111.565282
185.0,186,112.277317
188.0,189,112.888874
187.0,188,113.498815
183.0,184,114.039411
188.0,189,114.986032
186.0,187,115.370129
183.0,184,115.768624
188.0,189,116.373285
186.0,187,116.759131
184.0,185,117.171362
191.0,192,117.748641
185.0,186,118.178674
186.0,187,118.702871
183.0,184,119.070953
190.0,191,119.635326
190.0,191,120.415904
180.0,181,121.019117
191.0,192,121.393092
191.0,192,121.939171
193.0,194,122.3439
185.0,186,122.842378
180.0,181,123.194172
177.0,178,123.537237
192.0,193,124.042746
192.0,193,124.425559
180.0,181,124.793831
182.0,183,125.301008
187.0,188,125.651834
187.0,188,126.037462
190.0,191,126.566587
191.0,192,126.98747
185.0,186,127.46165
189.0,190,127.826187
190.0,191,128.20696
181.0,182,128.683706
183.0,184,129.041724
192.0,193,129.431692
185.0,186,129.919676
190.0,191,130.326891
181.0,182,130.691083
184.0,185,131.181693
189.0,190,131.548392
183.0,184,132.053607
189.0,190,132.439594
192.0,193,132.838666
190.0,191,133.363257
180.0,181,133.705348
184.0,185,134.088518
184.0,185,134.561372
187.0,188,134.926438
188.0,189,135.33041
192.0,193,135.814123
190.0,191,136.189392
187.0,188,136.6833
192.0,193,137.046103
182.0,183,137.386731
195.0,196,137.866152
196.0,197,138.233954
186.0,187,138.585468
188.0,189,139.068306
186.0,187,139.535228
197.0,198,140.221708
184.0,185,141.620952
186.0,187,142.064853
197.0,198,142.572479
191.0,192,143.000666
196.0,197,143.435795
193.0,194,143.942793
194.0,195,144.311622
197.0,198,144.839595
197.0,198,145.260822
194.0,195,145.660182
189.0,190,146.151341
183.0,184,146.479175
180.0,181,146.869601
193.0,194,147.370028
191.0,192,147.734252
190.0,191,148.220915
190.0,191,148.585589
192.0,193,148.960309
191.0,192,149.472555
185.0,186,149.854632
195.0,196,150.276505
184.0,185,151.043345
191.0,192,151.518796
183.0,184,152.136005
192.0,193,152.675054
190.0,191,153.124692
189.0,190,153.72798
193.0,194,154.29669
188.0,189,154.866992
183.0,184,155.503166
181.0,182,155.956042
190.0,191,156.572632
192.0,193,157.046195
184.0,185,157.492098
192.0,193,158.09182
182.0,183,158.526576
186.0,187,158.968115
179.0,180,159.576622
187.0,188,160.562053
191.0,192,161.341172
185.0,186,162.093087
185.0,186,162.565361
180.0,181,163.203953
182.0,183,163.690436
189.0,190,164.190111
179.0,180,164.973417
186.0,187,165.773026
183.0,184,166.326784
188.0,189,167.027605
182.0,183,167.483595
183.0,184,167.953004
192.0,193,168.638802
183.0,184,169.061686
193.0,194,169.723383
183.0,184,170.236148
191.0,192,170.92796
190.0,191,171.932364
178.0,179,172.404075
190.0,191,172.870088
186.0,187,173.4839
189.0,190,173.934011
183.0,184,174.364812
186.0,187,174.973788
191.0,192,175.441803
183.0,184,176.482532
187.0,188,177.292325
177.0,178,178.036098
185.0,186,178.761068
189.0,190,179.21727
189.0,190,179.695331
182.0,183,180.431248
191.0,192,181.417258
191.0,192,182.108038
191.0,192,182.918543
186.0,187,183.380883
