#{"t_start": 1786207508.085707, "env_id": "None"}
r,l,t
191.0,192,154.276173
188.0,189,154.843075
183.0,184,155.477454
185.0,186,155.925797
188.0,189,156.382782
185.0,186,157.018281
189.0,190,157.474578
181.0,182,158.052125
182.0,183,158.468667
188.0,189,158.918896
185.0,186,159.535824
182.0,183,160.232333
185.0,186,161.1949
189.0,190,162.033461
190.0,191,162.517579
189.0,190,162.998248
184.0,185,163.657695
187.0,188,164.15794
188.0,189,164.837117
181.0,182,165.733027
189.0,190,166.327542
184.0,185,167.001542
186.0,187,167.485002
181.0,182,167.937556
194.0,195,168.641973
192.0,193,169.11126
192.0,193,169.769975
186.0,187,170.293291
192.0,193,170.998647
188.0,189,171.98615
190.0,191,172.478094
187.0,188,172.938596
185.0,186,173.547369
194.0,195,174.007287
186.0,187,174.442594
187.0,188,175.053492
193.0,194,175.528236
182.0,183,176.598177
180.0,181,177.371204
189.0,190,178.147954
187.0,188,178.857194
188.0,189,179.308107
191.0,192,179.797988
187.0,188,180.666867
187.0,188,181.595918
183.0,184,182.522534
187.0,188,183.010905
185.0,186,183.472734
