#{"t_start": 1786207508.067442, "env_id": "None"}
r,l,t
186.0,187,1.812113
178.0,179,2.183322
176.0,177,3.098482
177.0,178,3.655504
189.0,190,4.080567
184.0,185,4.748713
182.0,183,5.203534
190.0,191,5.695266
182.0,183,6.303342
185.0,186,6.717516
181.0,182,7.164913
181.0,182,7.719272
178.0,179,8.127293
183.0,184,8.652347
173.0,174,8.998923
182.0,183,9.378766
183.0,184,9.832748
183.0,184,10.20699
188.0,189,10.61939
187.0,188,11.122996
180.0,181,11.45563
177.0,178,11.796341
184.0,185,12.267247
181.0,182,12.618311
176.0,177,12.956796
185.0,186,13.444766
184.0,185,13.792157
182.0,183,14.441108
178.0,179,15.078294
180.0,181,15.597486
179.0,180,16.217583
184.0,185,16.573994
179.0,180,17.237747
181.0,182,18.118792
185.0,186,18.687758
182.0,183,19.131179
182.0,183,19.738245
180.0,181,20.422564
184.0,185,20.891371
186.0,187,21.496053
179.0,180,21.887195
175.0,176,22.386023
177.0,178,23.086687
179.0,180,23.606896
179.0,180,24.156749
182.0,183,25.58248
180.0,181,26.277877
182.0,183,27.160529
172.0,173,27.67866
185.0,186,28.570783
183.0,184,29.471781
182.0,183,30.239789
180.0,181,30.650803
184.0,185,31.218519
182.0,183,31.84152
175.0,176,32.388532
185.0,186,33.20062
183.0,184,33.768111
182.0,183,34.689489
184.0,185,35.399852
180.0,181,35.829717
181.0,182,36.54339
182.0,183,37.486321
186.0,187,38.515463
188.0,189,39.78807
183.0,184,40.234163
183.0,184,40.578831
183.0,184,41.405893
182.0,183,41.822688
181.0,182,42.387222
180.0,181,43.147453
183.0,184,43.895598
178.0,179,44.413667
181.0,182,44.86109
181.0,182,45.737742
185.0,186,47.114748
179.0,180,47.658074
182.0,183,48.224014
186.0,187,48.909867
185.0,186,49.278017
184.0,185,49.649067
185.0,186,50.579836
185.0,186,51.160651
183.0,184,51.494331
179.0,180,52.046898
185.0,186,52.451552
187.0,188,53.082889
189.0,190,53.440242
186.0,187,53.946699
186.0,187,54.975952
181.0,182,55.842069
178.0,179,56.377181
180.0,181,56.867166
185.0,186,57.217236
185.0,186,57.572655
182.0,183,58.176658
183.0,184,58.792221
189.0,190,59.482767
183.0,184,59.954857
189.0,190,60.367459
185.0,186,61.178208
181.0,182,61.687601
185.0,186,62.372086
189.0,190,63.228551
188.0,189,63.871031
186.0,187,64.376184
187.0,188,64.950644
187.0,188,65.935411
191.0,192,67.350057
189.0,190,67.845992
183.0,184,68.217711
184.0,185,68.743957
185.0,186,69.205008
189.0,190,69.685875
186.0,187,70.219023
190.0,191,70.5894
188.0,189,71.461599
181.0,182,72.285594
187.0,188,72.85875
191.0,192,73.538424
192.0,193,73.936541
179.0,180,74.280238
186.0,187,74.741552
188.0,189,75.086326
177.0,178,75.421083
184.0,185,75.905874
185.0,186,76.248995
188.0,189,76.751147
185.0,186,77.090975
190.0,191,77.438941
188.0,189,77.9089
191.0,192,78.264142
186.0,187,78.629113
186.0,187,79.133075
189.0,190,79.476144
186.0,187,79.84006
179.0,180,80.291774
190.0,191,80.646677
189.0,190,81.121859
190.0,191,81.473806
189.0,190,81.826164
187.0,188,82.305441
181.0,182,82.628417
186.0,187,82.975373
187.0,188,83.435683
193.0,194,83.800761
188.0,189,84.293649
184.0,185,84.646158
194.0,195,85.009741
187.0,188,85.496096
184.0,185,85.863514
191.0,192,86.232844
186.0,187,86.691496
185.0,186,87.030388
191.0,192,87.454704
191.0,192,88.065915
194.0,195,88.677751
192.0,193,89.473845
189.0,190,89.853394
193.0,194,90.243091
191.0,192,90.752326
189.0,190,91.135575
187.0,188,91.495722
183.0,184,92.019034
190.0,191,92.381646
187.0,188,92.872863
185.0,186,93.209012
179.0,180,93.558801
177.0,178,94.047631
185.0,186,94.543938
192.0,193,95.046602
188.0,189,95.933922
188.0,189,96.385887
193.0,194,96.809428
195.0,196,97.373731
192.0,193,97.784152
190.0,191,98.298281
194.0,195,98.661415
189.0,190,99.059261
190.0,191,99.589096
186.0,187,100.031461
195.0,196,100.690756
188.0,189,101.467737
188.0,189,101.931509
197.0,198,102.660395
195.0,196,103.179926
189.0,190,103.718721
188.0,189,105.258534
196.0,197,105.877812
194.0,195,106.456447
192.0,193,106.983566
186.0,187,107.357
191.0,192,107.868764
189.0,190,108.292016
185.0,186,108.770934
192.0,193,109.55851
185.0,186,110.179081
188.0,189,110.789732
183.0,184,111.563211
192.0,193,112.343578
189.0,190,112.960814
184.0,185,113.523427
188.0,189,114.125381
185.0,186,115.050623
177.0,178,115.38305
188.0,189,115.785647
181.0,182,116.352695
179.0,180,116.742126
189.0,190,117.184079
180.0,181,117.732374
180.0,181,118.146812
190.0,191,118.678236
185.0,186,119.060083
181.0,182,119.446779
186.0,187,120.297787
187.0,188,120.967149
182.0,183,121.347838
182.0,183,121.866539
190.0,191,122.247186
187.0,188,122.629682
184.0,185,123.124507
186.0,187,123.511653
189.0,190,123.999503
179.0,180,124.353294
186.0,187,124.712486
188.0,189,125.256315
187.0,188,125.618519
191.0,192,125.991926
190.0,191,126.520232
189.0,190,126.921923
192.0,193,127.290646
183.0,184,127.774483
182.0,183,128.129728
186.0,187,128.628596
186.0,187,128.989103
185.0,186,129.360215
185.0,186,129.869072
189.0,190,130.25598
