#{"t_start": 1786207508.1252081, "env_id": "None"}
r,l,t
182.0,183,1.659538
186.0,187,2.174055
177.0,178,3.098289
188.0,189,3.677399
185.0,186,4.091234
179.0,180,4.722326
179.0,180,5.168664
180.0,181,5.594469
174.0,175,6.178785
186.0,187,6.610094
185.0,186,7.062173
188.0,189,7.634136
177.0,178,8.05294
184.0,185,8.577459
177.0,178,8.956352
185.0,186,9.341641
183.0,184,9.793715
179.0,180,10.162564
185.0,186,10.546878
182.0,183,11.044115
178.0,179,11.373795
180.0,181,11.71685
180.0,181,12.183665
181.0,182,12.523441
181.0,182,12.866961
181.0,182,13.349057
180.0,181,13.689766
179.0,180,14.066055
183.0,184,14.968685
184.0,185,15.506495
178.0,179,16.13544
181.0,182,16.477796
183.0,184,17.104507
183.0,184,18.014158
178.0,179,18.585569
176.0,177,18.999043
187.0,188,19.606273
181.0,182,20.300408
180.0,181,20.758708
183.0,184,21.374606
181.0,182,21.767733
184.0,185,22.28252
188.0,189,23.06007
178.0,179,23.57158
182.0,183,24.147873
182.0,183,25.578204
182.0,183,26.248805
183.0,184,27.134951
185.0,186,27.751771
176.0,177,28.559633
179.0,180,29.504691
185.0,186,30.215374
183.0,184,30.62679
181.0,182,31.192715
182.0,183,31.820387
184.0,185,32.398981
183.0,184,33.213992
183.0,184,33.868353
179.0,180,34.721584
184.0,185,35.383127
177.0,178,35.807754
181.0,182,36.542998
184.0,185,37.598451
184.0,185,38.529423
186.0,187,39.775193
180.0,181,40.198763
186.0,187,40.556993
187.0,188,41.38857
182.0,183,41.796087
183.0,184,42.589146
181.0,182,43.151492
177.0,178,43.873024
185.0,186,44.391627
186.0,187,44.887748
180.0,181,45.80308
183.0,184,47.132488
188.0,189,47.713967
188.0,189,48.280231
184.0,185,48.922277
189.0,190,49.295429
185.0,186,49.751625
183.0,184,50.631649
185.0,186,51.167169
191.0,192,51.666155
189.0,190,52.106585
187.0,188,52.505954
186.0,187,53.123379
183.0,184,53.557325
188.0,189,53.995316
181.0,182,55.172692
188.0,189,55.967318
185.0,186,56.436373
187.0,188,56.931339
181.0,182,57.292115
175.0,176,57.755734
187.0,188,58.312619
180.0,181,58.843739
183.0,184,59.56369
184.0,185,60.012653
187.0,188,60.416051
187.0,188,61.291518
190.0,191,61.811717
184.0,185,62.466029
188.0,189,63.406124
191.0,192,63.980801
185.0,186,64.605561
179.0,180,65.102814
180.0,181,66.13789
191.0,192,67.440294
185.0,186,67.879394
178.0,179,68.244158
185.0,186,68.790603
190.0,191,69.240578
181.0,182,69.720496
191.0,192,70.239196
190.0,191,70.628974
182.0,183,71.483549
190.0,191,72.405872
185.0,186,72.922526
190.0,191,73.567789
182.0,183,73.943858
181.0,182,74.288362
181.0,182,74.728193
180.0,181,75.063439
190.0,191,75.419686
183.0,184,75.899315
189.0,190,76.285592
187.0,188,76.758534
187.0,188,77.102798
187.0,188,77.445169
189.0,190,77.907504
189.0,190,78.27988
190.0,191,78.659566
191.0,192,79.174708
189.0,190,79.523046
188.0,189,80.012147
181.0,182,80.352064
189.0,190,80.694502
182.0,183,81.148801
192.0,193,81.502116
190.0,191,81.85732
190.0,191,82.336168
184.0,185,82.677499
193.0,194,83.033774
188.0,189,83.494286
188.0,189,83.859761
190.0,191,84.363635
193.0,194,84.727928
186.0,187,85.085071
187.0,188,85.552061
192.0,193,85.944027
190.0,191,86.296528
194.0,195,86.787789
191.0,192,87.142172
192.0,193,87.776641
184.0,185,88.161235
187.0,188,88.825361
192.0,193,89.55747
192.0,193,89.942021
187.0,188,90.318164
191.0,192,90.826287
183.0,184,91.185098
193.0,194,91.724483
193.0,194,92.107382
191.0,192,92.467415
193.0,194,92.962353
191.0,192,93.318126
188.0,189,93.694474
190.0,191,94.343006
183.0,184,94.776837
192.0,193,95.541223
193.0,194,96.154935
186.0,187,96.574595
184.0,185,97.125575
184.0,185,97.534518
191.0,192,97.917866
182.0,183,98.394224
186.0,187,98.774459
184.0,185,99.145876
189.0,190,99.679172
191.0,192,100.238111
182.0,183,101.084605
193.0,194,101.635563
190.0,191,102.050669
197.0,198,102.793041
199.0,200,103.348563
196.0,197,104.02256
193.0,194,105.503201
188.0,189,106.146433
184.0,185,106.700204
194.0,195,107.072619
186.0,187,107.441636
193.0,194,107.979471
191.0,192,108.465249
186.0,187,108.892895
185.0,186,109.689504
179.0,180,110.299075
186.0,187,111.145676
187.0,188,111.698623
186.0,187,112.422794
190.0,191,113.018423
188.0,189,113.656698
190.0,191,114.253556
182.0,183,115.088051
186.0,187,115.456072
189.0,190,115.873146
179.0,180,116.466676
181.0,182,116.863379
177.0,178,117.430697
188.0,189,117.851877
183.0,184,118.250703
182.0,183,118.771316
189.0,190,119.173347
190.0,191,119.73627
182.0,183,120.649062
195.0,196,121.097251
187.0,188,121.478193
185.0,186,122.000152
190.0,191,122.387681
190.0,191,122.888347
188.0,189,123.272659
187.0,188,123.635879
182.0,183,124.118689
182.0,183,124.480415
182.0,183,124.857234
189.0,190,125.392999
191.0,192,125.74427
188.0,189,126.273951
184.0,185,126.659879
182.0,183,127.028872
181.0,182,127.50978
183.0,184,127.866788
179.0,180,128.220611
183.0,184,128.711358
192.0,193,129.084982
186.0,187,129.466054
184.0,185,129.964803
191.0,192,130.349123
185.0,186,130.74622
194.0,195,131.248015
191.0,192,131.629239
180.0,181,132.131596
181.0,182,132.509313
187.0,188,132.900637
185.0,186,133.391693
190.0,191,133.76039
185.0,186,134.144314
190.0,191,134.635536
190.0,191,135.003063
195.0,196,135.548222
180.0,181,135.873953
191.0,192,136.2513
189.0,190,136.746636
184.0,185,137.100986
194.0,195,137.466875
186.0,187,137.935823
188.0,189,138.278956
191.0,192,138.764395
187.0,188,139.095645
188.0,189,139.579477
198.0,199,140.300331
197.0,198,141.773303
188.0,189,142.172479
195.0,196,142.740953
187.0,188,143.092074
188.0,189,143.638902
199.0,200,144.00791
194.0,195,144.379354
180.0,181,144.882498
191.0,192,145.269633
190.0,191,145.637635
186.0,187,146.10974
188.0,189,146.486109
193.0,194,146.935019
187.0,188,147.398145
194.0,195,147.78302
189.0,190,148.253094
189.0,190,148.617698
189.0,190,148.986151
195.0,196,149.490822
189.0,190,149.907589
192.0,193,150.311307
184.0,185,151.098599
184.0,185,151.547308
186.0,187,152.170571
177.0,178,152.635738
185.0,186,153.077292
191.0,192,153.686159
176.0,177,154.209738
189.0,190,154.776186
188.0,189,155.421256
188.0,189,155.906044
180.0,181,156.314052
176.0,177,156.923183
188.0,189,157.371969
188.0,189,157.981667
182.0,183,158.400235
179.0,180,158.833596
184.0,185,159.44505
181.0,182,160.016174
181.0,182,161.079282
183.0,184,161.918855
191.0,192,162.405885
184.0,185,162.886412
188.0,189,163.528603
185.0,186,164.03468
181.0,182,164.694358
189.0,190,165.588914
184.0,185,166.189572
189.0,190,166.886736
184.0,185,167.357253
189.0,190,167.83953
178.0,179,168.49877
182.0,183,168.937948
188.0,189,169.375677
190.0,191,170.069364
193.0,194,170.7723
192.0,193,171.735472
177.0,178,172.276954
188.0,189,172.745982
190.0,191,173.374225
186.0,187,173.817349
186.0,187,174.255541
191.0,192,174.873308
185.0,186,175.322151
186.0,187,175.927799
192.0,193,177.127595
187.0,188,177.878662
191.0,192,178.687135
193.0,194,179.150742
193.0,194,179.647051
193.0,194,180.410823
183.0,184,181.317772
189.0,190,182.051273
188.0,189,182.871563
185.0,186,183.331608
