#{"t_start": 1787356050.463356, "env_id": "None"}
r,l,t
-6.0,637,4.25131
-10.0,641,7.106794
-6.0,632,10.016123
-7.0,621,13.03126
-7.0,662,16.804706
0.0,656,20.734426
-10.0,656,24.20776
-8.0,678,27.836008
-2.0,678,31.840128
-2.0,692,35.417159
-10.0,693,38.978277
-9.0,670,42.23392
-2.0,671,46.019582
-6.0,678,49.545679
-10.0,644,52.485344
-1.0,657,55.699479
-5.0,648,59.023727
0.0,692,62.678831
-4.0,688,66.415721
-10.0,686,69.908873
-7.0,674,73.602863
-10.0,702,77.369388
-3.0,697,80.783577
-6.0,710,84.433426
0.0,684,88.083354
-4.0,678,91.831448
-1.0,709,95.904076
-3.0,653,99.29452
-10.0,661,102.982419
-2.0,631,106.553622
-8.0,645,110.006494
-2.0,686,113.648952
-2.0,665,117.327873
-9.0,684,120.799533
-8.0,714,124.129786
-2.0,672,127.782487
-6.0,651,131.160623
-3.0,644,134.462879
-8.0,652,137.861262
-4.0,657,141.52775
-9.0,632,144.8194
-10.0,632,148.146252
-7.0,638,151.226004
-10.0,652,154.486879
-6.0,645,157.981238
-8.0,675,161.21684
-10.0,657,164.260751
-4.0,700,167.403515
-8.0,713,170.532582
-5.0,678,173.887323
-3.0,699,177.178913
-3.0,673,180.809991
-6.0,679,184.248045
-1.0,703,187.734541
-4.0,685,191.190411
-2.0,680,194.477323
-6.0,711,197.90876
-10.0,701,201.23802
-9.0,676,204.356168
-4.0,711,207.644421
-5.0,689,210.825805
-1.0,669,213.891811
-10.0,671,216.985868
0.0,715,220.429834
-4.0,695,223.887077
-3.0,682,227.26869
-7.0,672,231.027115
-10.0,691,234.220963
-2.0,666,237.325583
-7.0,664,240.774747
-6.0,664,244.072554
-9.0,666,247.180138
-2.0,631,250.23027
-3.0,647,253.391005
-7.0,632,256.315513
-7.0,650,259.577714
-3.0,642,262.651938
-2.0,644,265.875986
-10.0,664,269.1652
-6.0,656,272.283552
-5.0,654,275.483261
-8.0,641,278.805702
-8.0,631,282.293089
-3.0,625,285.397553
-5.0,634,288.509573
-6.0,660,291.7427
-8.0,660,294.842011
0.0,649,297.969021
-10.0,670,301.31126
-8.0,646,304.437309
-9.0,635,307.557
-9.0,638,310.686896
-2.0,664,313.950816
-5.0,667,317.133467
