#{"t_start": 1787356050.436398, "env_id": "None"}
r,l,t
-9.0,651,4.571514
-10.0,636,7.414103
-4.0,645,10.566591
-7.0,645,14.202357
-4.0,644,17.696645
-5.0,640,21.036166
-4.0,664,24.597223
-4.0,669,28.365781
-5.0,656,31.585456
-5.0,675,34.90705
-4.0,676,38.420709
-1.0,706,42.083246
-8.0,676,45.8885
-9.0,674,49.419778
-8.0,683,53.090906
-7.0,670,56.369775
-2.0,666,60.053005
-7.0,654,63.348231
-6.0,681,66.712838
-7.0,670,70.08658
-8.0,667,73.467907
-9.0,687,77.095485
-4.0,668,80.315383
-4.0,713,84.081566
-10.0,685,87.693049
-3.0,680,91.448194
-10.0,705,95.573575
-9.0,669,99.110682
-7.0,669,102.812309
-9.0,639,106.396816
-2.0,642,109.742271
-7.0,655,113.28564
-3.0,670,117.084344
-10.0,665,120.387508
-6.0,732,123.914264
-4.0,661,127.518736
-3.0,652,130.829091
-8.0,643,134.100283
-6.0,654,137.605377
-9.0,663,141.267277
-4.0,626,144.369817
-1.0,664,148.003975
-3.0,660,151.15939
-10.0,678,154.699334
-5.0,631,158.177247
-7.0,649,161.0163
-2.0,655,164.147018
-1.0,676,167.210742
-8.0,674,170.198869
-8.0,674,173.438072
-5.0,687,176.637394
-4.0,687,180.341962
-7.0,699,183.778365
-7.0,673,187.252135
-4.0,712,190.777024
-9.0,732,194.349382
-8.0,698,197.737541
-2.0,678,200.921536
-10.0,726,204.489241
-9.0,685,207.500192
-2.0,720,210.981286
-2.0,680,214.068243
-4.0,718,217.306978
0.0,682,220.848189
-4.0,686,224.214736
-7.0,691,227.615702
-3.0,657,231.19268
-8.0,678,234.356056
-8.0,685,237.621286
-2.0,673,241.234385
-7.0,685,244.360014
-8.0,658,247.433836
-10.0,661,250.591577
-2.0,651,253.765052
-10.0,646,256.840682
0.0,629,259.941726
-3.0,636,263.085589
0.0,652,266.344185
-9.0,647,269.571829
-9.0,661,272.776793
0.0,654,276.041075
-9.0,632,279.211835
-7.0,631,282.703679
-8.0,636,285.861181
-4.0,648,289.028786
-4.0,654,292.104742
-6.0,664,295.214452
-9.0,627,298.266124
-7.0,635,301.492033
-9.0,653,304.650666
-2.0,659,307.957411
-9.0,650,311.100202
-7.0,668,314.38452
-5.0,655,317.51765
