series,strategy,n,gained,level,lost,median_d_pos,p10_d_pos,p90_d_pos,median_d_laps,median_d_pit_s,median_stops,n_seeds,gained_lo,gained_hi,lost_lo,lost_hi,median_d_pos_lo,median_d_pos_hi
imsa,fuel_window,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,50,0.0,0.0,0.0,0.0,0.0,0.0
imsa,caution_gambler,50.0,0.52,0.22,0.26,1.0,-3.0999999999999996,6.100000000000001,1.0,-60.70429629306591,30.0,50,0.38,0.66,0.14,0.38,0.0,2.0
imsa,track_position,50.0,0.3,0.2,0.5,-0.5,-6.1,4.0,0.0,11.112122822942183,24.0,50,0.18,0.42,0.36,0.64,-1.5,0.0
imsa,splash_and_dash,50.0,0.36,0.5,0.14,0.0,-1.0,6.0,0.0,4.053818203712126,25.0,50,0.24,0.5,0.06,0.24,0.0,0.5
imsa,lap_down,50.0,0.34,0.24,0.42,0.0,-4.0,3.1000000000000014,0.0,-2.6493802500000356,24.0,50,0.22,0.48,0.28,0.56,-1.0,0.0
imsa,agent,50.0,0.0,0.06,0.94,-6.0,-10.0,-1.0,-153.0,-23393.429502875995,537.0,50,0.0,0.0,0.86,1.0,-7.0,-3.0
