series,race,strategy,class,pace_rank,seed,focal,class_pos,overall_pos,laps,race_time_s,stops,pit_time_s,traffic_time_s,caution_laps,d_class_pos,d_laps,d_race_time_s,d_stops,d_pit_time_s
wec,Le Mans 24 2026,lap_down,HYPERCAR,5,125335,HYPERCAR-18,2,2,372,86223.2383620143,33,2381.387248167451,399.20000000000005,53,0,0,0.0,0,0.0
wec,Le Mans 24 2026,agent,HYPERCAR,5,125335,HYPERCAR-18,18,37,350,86165.73626457462,179,8595.872670762343,244.0,55,-16,-22,57.50209743967571,146,-6214.485422594891
wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,927733,HYPERCAR-11,4,4,387,86372.02303947687,37,2571.205282322264,537.6,26,0,0,0.0,0,0.0
wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,927733,HYPERCAR-11,1,1,388,86309.06273371217,37,2556.936376322264,585.6,27,3,1,62.96030576470366,0,14.268905999999788
wec,Le Mans 24 2026,track_position,HYPERCAR,5,927733,HYPERCAR-11,6,6,386,86236.12508702712,36,2533.182083215716,532.8000000000001,24,-2,-1,135.8979524497554,-1,38.02319910654796
wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,927733,HYPERCAR-11,4,4,387,86355.85394169697,37,2546.240819663965,535.2,26,0,0,16.169097779900767,0,24.964462658299
wec,Le Mans 24 2026,lap_down,HYPERCAR,5,927733,HYPERCAR-11,4,4,387,86372.02303947687,37,2571.205282322264,537.6,26,0,0,0.0,0,0.0
wec,Le Mans 24 2026,agent,HYPERCAR,5,927733,HYPERCAR-11,18,37,359,86220.63638339708,167,8778.25326513182,285.6,27,-14,-28,151.38665607979055,130,-6207.047982809556
wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,551269,HYPERCAR-12,4,4,391,86323.63414631621,37,2529.463537365768,533.6,15,0,0,0.0,0,0.0
wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,551269,HYPERCAR-12,3,3,392,86337.03709760233,37,2536.751971365768,544.8000000000001,14,1,1,-13.40295128611615,0,-7.288434000000052
wec,Le Mans 24 2026,track_position,HYPERCAR,5,551269,HYPERCAR-12,4,4,391,86349.18506687542,37,2529.463537365768,572.8000000000001,15,0,0,-25.55092055920977,0,0.0
wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,551269,HYPERCAR-12,3,3,391,86293.37823642738,38,2517.1465102165785,519.2,15,1,0,30.2559098888305,1,12.317027149189471
wec,Le Mans 24 2026,lap_down,HYPERCAR,5,551269,HYPERCAR-12,5,5,391,86186.99022885643,37,2554.100497365768,538.4000000000001,15,-1,0,136.64391745977628,0,-24.636960000000272
wec,Le Mans 24 2026,agent,HYPERCAR,5,551269,HYPERCAR-12,18,37,362,86266.44365364534,184,9109.194725228079,292.8,16,-14,-29,57.19049267086666,147,-6579.731187862311
wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,484440,HYPERCAR-06,5,5,390,86384.47391189278,37,2639.93228063285,502.40000000000003,19,0,0,0.0,0,0.0
wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,484440,HYPERCAR-06,9,9,389,86229.73278475973,38,2652.0429518891992,515.2,19,-4,-1,154.7411271330493,1,-12.110671256349178
wec,Le Mans 24 2026,track_position,HYPERCAR,5,484440,HYPERCAR-06,5,5,389,86188.67188269115,37,2645.06498063285,532.0,19,0,-1,195.80202920162992,0,-5.1327000000001135
wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,484440,HYPERCAR-06,5,5,390,86359.74254047673,38,2619.627723876752,500.00000000000006,19,0,0,24.73137141605548,1,20.30455675609801
wec,Le Mans 24 2026,lap_down,HYPERCAR,5,484440,HYPERCAR-06,5,5,390,86382.94374690899,37,2642.49863063285,498.40000000000003,19,0,0,1.530164983792929,0,-2.5663500000000568
wec,Le Mans 24 2026,agent,HYPERCAR,5,484440,HYPERCAR-06,18,37,361,86307.84874187985,183,9243.335402852457,248.8,19,-13,-29,76.625170012936,146,-6603.403122219607
wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,104347,HYPERCAR-02,4,4,392,86289.75574995512,37,2493.3499494709567,531.2,14,0,0,0.0,0,0.0
wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,104347,HYPERCAR-02,4,4,392,86289.75574995512,37,2493.3499494709567,531.2,14,0,0,0.0,0,0.0
wec,Le Mans 24 2026,track_position,HYPERCAR,5,104347,HYPERCAR-02,4,4,392,86263.25923497138,37,2493.3499494709567,504.8,14,0,0,26.496514983737143,0,0.0
wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,104347,HYPERCAR-02,5,5,392,86297.0338931842,38,2500.966975439674,534.4000000000001,14,-1,0,-7.278143229079433,1,-7.617025968717371
wec,Le Mans 24 2026,lap_down,HYPERCAR,5,104347,HYPERCAR-02,4,4,392,86289.75574995512,37,2493.3499494709567,531.2,14,0,0,0.0,0,0.0
wec,Le Mans 24 2026,agent,HYPERCAR,5,104347,HYPERCAR-02,18,37,365,86196.48960836197,178,8927.980133177785,296.8,15,-14,-27,93.26614159315068,141,-6434.630183706829
wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,293797,HYPERCAR-18,15,15,385,86229.92312865694,36,2756.7804763977674,585.6,28,0,0,0.0,0,0.0
wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,293797,HYPERCAR-18,1,1,387,86270.43736455395,37,2737.6478720436776,575.2,26,14,2,-40.514235897004255,1,19.132604354089835
wec,Le Mans 24 2026,track_position,HYPERCAR,5,293797,HYPERCAR-18,13,13,385,86222.50341332825,36,2756.7804763977674,640.8000000000001,28,2,0,7.41971532869502,0,0.0
wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,293797,HYPERCAR-18,12,12,385,86181.92687240678,36,2706.8346234053697,588.0,28,3,0,47.99625625016051,0,49.945852992397704
wec,Le Mans 24 2026,lap_down,HYPERCAR,5,293797,HYPERCAR-18,15,15,385,86229.92312865694,36,2756.7804763977674,585.6,28,0,0,0.0,0,0.0
wec,Le Mans 24 2026,agent,HYPERCAR,5,293797,HYPERCAR-18,18,37,360,86345.69054110639,175,9226.368010381884,259.20000000000005,28,-3,-25,-115.76741244945151,139,-6469.587533984117
wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,393815,HYPERCAR-04,4,4,388,86348.05833786339,36,2543.6533844080514,529.6,25,0,0,0.0,0,0.0
wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,393815,HYPERCAR-04,4,4,388,86351.46872724836,37,2589.4149564712247,496.00000000000006,24,0,0,-3.410389384967857,1,-45.76157206317339
wec,Le Mans 24 2026,track_position,HYPERCAR,5,393815,HYPERCAR-04,4,4,388,86325.9282064211,35,2503.4351807191883,547.2,24,0,0,22.130131442288985,-1,40.218203688863014
wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,393815,HYPERCAR-04,4,4,388,86336.52199661595,37,2536.5481493523384,528.0,25,0,0,11.53634124743985,1,7.10523505571291
wec,Le Mans 24 2026,lap_down,HYPERCAR,5,393815,HYPERCAR-04,4,4,388,86348.05833786339,36,2543.6533844080514,529.6,25,0,0,0.0,0,0.0
wec,Le Mans 24 2026,agent,HYPERCAR,5,393815,HYPERCAR-04,18,37,361,86346.10967624301,177,8880.114840322345,244.0,26,-14,-27,1.9486616203794256,141,-6336.461455914294
wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,73033,HYPERCAR-08,4,4,388,86192.28769985332,36,2614.5640713064763,486.40000000000003,21,0,0,0.0,0,0.0
wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,73033,HYPERCAR-08,2,2,388,86177.22966842292,37,2623.628694964635,514.4,22,2,0,15.058031430395204,1,-9.06462365815878
wec,Le Mans 24 2026,track_position,HYPERCAR,5,73033,HYPERCAR-08,4,4,388,86192.28769985332,36,2614.5640713064763,486.40000000000003,21,0,0,0.0,0,0.0
wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,73033,HYPERCAR-08,3,3,389,86379.45039897144,37,2601.163145621461,484.00000000000006,21,1,1,-187.1626991181256,1,13.400925685015409
wec,Le Mans 24 2026,lap_down,HYPERCAR,5,73033,HYPERCAR-08,4,4,388,86192.28769985332,36,2614.5640713064763,486.40000000000003,21,0,0,0.0,0,0.0
wec,Le Mans 24 2026,agent,HYPERCAR,5,73033,HYPERCAR-08,18,37,362,86344.83614524483,175,9034.274085432342,252.00000000000003,25,-14,-26,-152.54844539151236,139,-6419.710014125865
wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,888441,HYPERCAR-11,9,9,381,86366.03817555313,34,2503.3575197336,469.6,41,0,0,0.0,0,0.0
