series,strategy,n,gained,level,lost,median_d_pos,p10_d_pos,p90_d_pos,median_d_laps,median_d_pit_s,median_stops,n_seeds,gained_lo,gained_hi,lost_lo,lost_hi,median_d_pos_lo,median_d_pos_hi
imsa,fuel_window,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,50,0.0,0.0,0.0,0.0,0.0,0.0
imsa,caution_gambler,50.0,0.6,0.22,0.18,1.0,-3.0999999999999996,7.0,0.0,-113.81736240239161,29.0,50,0.46,0.74,0.08,0.3,0.0,2.0
imsa,track_position,50.0,0.38,0.16,0.46,0.0,-5.0,4.0,0.0,14.422150779618505,24.0,50,0.24,0.52,0.32,0.58,-1.0,1.0
imsa,splash_and_dash,50.0,0.34,0.44,0.22,0.0,-2.0,2.0,0.0,0.0,25.0,50,0.22,0.46,0.12,0.34,0.0,0.0
imsa,lap_down,50.0,0.36,0.3,0.34,0.0,-3.0999999999999996,3.1000000000000014,0.0,-2.155428000000029,24.0,50,0.22,0.5,0.22,0.46,0.0,0.5
imsa,agent,50.0,0.32,0.14,0.54,-1.0,-5.0,3.1000000000000014,0.0,18.047234125320188,24.0,50,0.2,0.46,0.4,0.68,-2.0,0.0
