series,strategy,n,gained,level,lost,median_d_pos,p10_d_pos,p90_d_pos,median_d_laps,median_d_pit_s,median_stops,n_seeds,gained_lo,gained_hi,lost_lo,lost_hi,median_d_pos_lo,median_d_pos_hi
imsa,fuel_window,200.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,200,0.0,0.0,0.0,0.0,0.0,0.0
imsa,caution_gambler,200.0,0.58,0.15,0.27,1.0,-3.0,7.0,1.0,-100.98577997583243,29.0,200,0.515,0.645,0.21,0.335,1.0,2.0
imsa,track_position,200.0,0.465,0.185,0.35,0.0,-3.0,5.0,0.0,7.150293352058952,24.0,200,0.395,0.53,0.285,0.415,0.0,1.0
imsa,splash_and_dash,200.0,0.355,0.435,0.21,0.0,-2.0,3.0,0.0,4.909912777875434,25.0,200,0.295,0.425,0.155,0.265,0.0,0.0
imsa,lap_down,200.0,0.395,0.27,0.335,0.0,-3.099999999999998,4.0,0.0,-2.24523750000003,24.0,200,0.325,0.465,0.27,0.405,0.0,0.0
imsa,agent,200.0,0.445,0.175,0.38,0.0,-3.0,5.0,0.0,8.262473999999997,24.0,200,0.375,0.51,0.315,0.45,0.0,1.0
