series,strategy,n,gained,level,lost,median_d_pos,p10_d_pos,p90_d_pos,median_d_laps,median_d_pit_s,median_stops,n_seeds,gained_lo,gained_hi,lost_lo,lost_hi,median_d_pos_lo,median_d_pos_hi
wec,fuel_window,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,50,0.0,0.0,0.0,0.0,0.0,0.0
wec,caution_gambler,50.0,0.4,0.46,0.14,0.0,-3.0,5.100000000000001,0.0,0.0,37.0,50,0.26,0.54,0.06,0.24,0.0,1.0
wec,track_position,50.0,0.36,0.42,0.22,0.0,-1.0999999999999996,5.0,0.0,0.0,36.0,50,0.24,0.5,0.12,0.34,0.0,0.5
wec,splash_and_dash,50.0,0.48,0.48,0.04,0.0,0.0,2.0,0.0,23.36375062018851,37.0,50,0.34,0.62,0.0,0.1,0.0,1.0
wec,lap_down,50.0,0.08,0.8,0.12,0.0,-1.0,0.0,0.0,0.0,36.0,50,0.02,0.16,0.04,0.22,0.0,0.0
wec,agent,50.0,0.04,0.02,0.94,-9.0,-14.0,-2.799999999999997,-2.0,-721.5322453080814,69.0,50,0.0,0.1,0.86,1.0,-10.5,-8.0
