series,strategy,n,gained,level,lost,median_d_pos,p10_d_pos,p90_d_pos,median_d_laps,median_d_pit_s,median_stops,n_seeds,gained_lo,gained_hi,lost_lo,lost_hi,median_d_pos_lo,median_d_pos_hi
wec,fuel_window,200.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,200,0.0,0.0,0.0,0.0,0.0,0.0
wec,caution_gambler,200.0,0.265,0.465,0.27,0.0,-3.099999999999998,4.0,0.0,-1.658209998473012,37.0,200,0.205,0.325,0.21,0.33,0.0,0.0
wec,track_position,200.0,0.34,0.29,0.37,0.0,-4.0,4.0,0.0,1.437155999999959,36.0,200,0.275,0.405,0.305,0.435,0.0,0.0
wec,splash_and_dash,200.0,0.45,0.54,0.01,0.0,0.0,2.0,0.0,16.927026255752253,37.0,200,0.38,0.52,0.0,0.025,0.0,1.0
wec,lap_down,200.0,0.05,0.865,0.085,0.0,0.0,0.0,0.0,0.0,36.0,200,0.025,0.08,0.05,0.125,0.0,0.0
wec,agent,200.0,0.0,0.0,1.0,-12.0,-16.0,-7.900000000000006,-26.0,-6220.613332678055,174.0,200,0.0,0.0,1.0,1.0,-13.0,-12.0
