multiplier,pit_transit_frac,series,race,strategy,class,pace_rank,seed,focal,class_pos,overall_pos,laps,race_time_s,stops,pit_time_s,traffic_time_s,caution_laps,d_class_pos,d_laps,d_race_time_s,d_stops,d_pit_time_s
1.0,0.25,imsa,Daytona 24 2026,splash_and_dash,GTP,5,210692,GTP-04,6,6,718,86393.16752872859,24,1740.68069237923,624.8000000000001,240,0,0,-0.5304658520326484,1,-6.785606538541288
1.0,0.25,imsa,Daytona 24 2026,lap_down,GTP,5,210692,GTP-04,6,6,718,86406.32132741765,23,1743.953749840689,659.2,242,0,0,-13.684264541094308,0,-10.058664000000135
1.0,0.25,imsa,Daytona 24 2026,agent,GTP,5,210692,GTP-04,8,8,717,86324.78000417679,66,2977.4017395060105,667.2,242,-2,-1,67.85705869976664,43,-1243.5066536653217
1.0,0.25,imsa,Daytona 24 2026,fuel_window,GTP,5,819051,GTP-02,7,7,744,86315.90705640953,24,2053.5447694194654,784.0,194,0,0,0.0,0,0.0
1.0,0.25,imsa,Daytona 24 2026,caution_gambler,GTP,5,819051,GTP-02,1,1,746,86392.76564938367,30,2179.845822338036,819.2,188,6,2,-76.85859297413845,6,-126.3010529185708
1.0,0.25,imsa,Daytona 24 2026,track_position,GTP,5,819051,GTP-02,4,4,745,86358.07626969917,24,2073.8417164194652,749.6,193,3,1,-42.16921328964236,0,-20.296946999999818
1.0,0.25,imsa,Daytona 24 2026,splash_and_dash,GTP,5,819051,GTP-02,10,10,744,86391.72333695345,26,2122.625600948313,789.6,194,-3,0,-75.81628054392058,2,-69.08083152884774
1.0,0.25,imsa,Daytona 24 2026,lap_down,GTP,5,819051,GTP-02,3,3,745,86335.10704211297,24,2065.9384804194656,766.4000000000001,191,4,1,-19.19998570343887,0,-12.393711000000167
1.0,0.25,imsa,Daytona 24 2026,agent,GTP,5,819051,GTP-02,6,6,745,86344.16426320671,82,3519.7616197666007,845.6,184,1,1,-28.257206797177787,58,-1466.2168503471353
1.0,0.25,imsa,Daytona 24 2026,fuel_window,GTP,5,805567,GTP-07,5,5,742,86408.5335106052,25,1826.0877807855577,766.4000000000001,193,0,0,0.0,0,0.0
1.0,0.25,imsa,Daytona 24 2026,caution_gambler,GTP,5,805567,GTP-07,5,5,742,86422.10739942252,30,2018.9861012130434,810.4000000000001,194,0,0,-13.573888817321858,5,-192.89832042748571
1.0,0.25,imsa,Daytona 24 2026,track_position,GTP,5,805567,GTP-07,1,1,742,86405.17408449757,24,1818.0049257855576,766.4000000000001,194,4,0,3.3594261076214025,-1,8.082855000000109
1.0,0.25,imsa,Daytona 24 2026,splash_and_dash,GTP,5,805567,GTP-07,4,4,742,86383.33328357078,25,1825.6823695909554,748.0,193,1,0,25.20022703440918,0,0.4054111946022658
1.0,0.25,imsa,Daytona 24 2026,lap_down,GTP,5,805567,GTP-07,4,4,742,86384.27957747073,25,1833.7215882855578,780.8000000000001,193,1,0,24.253933134459658,0,-7.633807500000103
1.0,0.25,imsa,Daytona 24 2026,agent,GTP,5,805567,GTP-07,5,5,742,86412.06909319258,58,2729.930607444879,733.6,197,0,0,-3.5355825873848516,33,-903.8428266593214
1.0,0.25,imsa,Daytona 24 2026,fuel_window,GTP,5,787609,GTP-07,10,10,710,86298.48632353861,24,1839.3187635141733,641.6,253,0,0,0.0,0,0.0
1.0,0.25,imsa,Daytona 24 2026,caution_gambler,GTP,5,787609,GTP-07,3,3,712,86423.26339038002,30,2047.424695297999,667.2,256,7,2,-124.77706684140139,6,-208.10593178382578
1.0,0.25,imsa,Daytona 24 2026,track_position,GTP,5,787609,GTP-07,3,3,712,86423.33805553034,23,1814.704604547603,706.4000000000001,258,7,2,-124.85173199173005,-1,24.614158966570358
1.0,0.25,imsa,Daytona 24 2026,splash_and_dash,GTP,5,787609,GTP-07,10,10,710,86298.48629081988,24,1830.7417454230417,641.6,253,0,0,3.271872992627323e-05,0,8.57701809113155
1.0,0.25,imsa,Daytona 24 2026,lap_down,GTP,5,787609,GTP-07,2,2,712,86453.06505576588,23,1793.1503245476028,669.6,253,8,2,-154.5787322272663,-1,46.16843896657042
1.0,0.25,imsa,Daytona 24 2026,agent,GTP,5,787609,GTP-07,11,13,711,86296.79024211496,89,3700.33519709211,740.8000000000001,250,-1,1,1.6960814236517763,65,-1861.0164335779366
1.0,0.25,imsa,Daytona 24 2026,fuel_window,GTP,5,150213,GTP-01,8,8,729,86363.06602800773,24,1810.0880404706065,701.6,223,0,0,0.0,0,0.0
