multiplier,pit_transit_frac,series,race,strategy,class,pace_rank,seed,focal,class_pos,overall_pos,laps,race_time_s,stops,pit_time_s,traffic_time_s,caution_laps,d_class_pos,d_laps,d_race_time_s,d_stops,d_pit_time_s
1.0,0.25,wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,22699,HYPERCAR-09,12,12,375,86347.83127047925,36,2470.6243596582344,476.8,50,-10,0,-129.53551793533552,1,-40.98087056277927
1.0,0.25,wec,Le Mans 24 2026,track_position,HYPERCAR,5,22699,HYPERCAR-09,10,10,375,86299.79412478064,35,2430.567375095455,475.20000000000005,47,-8,0,-81.4983722367324,0,-0.9238860000000386
1.0,0.25,wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,22699,HYPERCAR-09,1,1,375,86166.652548259,36,2417.3210464519007,500.00000000000006,46,1,0,51.64320428491919,1,12.322442643554496
1.0,0.25,wec,Le Mans 24 2026,lap_down,HYPERCAR,5,22699,HYPERCAR-09,2,2,375,86218.29575254391,35,2429.643489095455,503.20000000000005,46,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,agent,HYPERCAR,5,22699,HYPERCAR-09,17,17,374,86321.37570019996,112,3505.42815820419,416.8,50,-15,-1,-103.07994765604963,77,-1075.7846691087348
1.0,0.25,wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,604281,HYPERCAR-17,4,4,369,86274.51278201824,34,2218.227468508022,479.20000000000005,59,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,604281,HYPERCAR-17,10,10,369,86258.97093884365,36,2197.1574156667316,537.6,57,-6,0,15.541843174592941,2,21.070052841290362
1.0,0.25,wec,Le Mans 24 2026,track_position,HYPERCAR,5,604281,HYPERCAR-17,5,5,369,86345.90873651643,34,2194.381408134921,484.00000000000006,58,-1,0,-71.39595449819171,0,23.846060373100954
1.0,0.25,wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,604281,HYPERCAR-17,2,2,369,86227.412861659,34,2172.699668019238,478.40000000000003,59,2,0,47.09992035923642,0,45.52780048878412
1.0,0.25,wec,Le Mans 24 2026,lap_down,HYPERCAR,5,604281,HYPERCAR-17,6,6,369,86325.55315851745,34,2221.820358508022,493.6,58,-2,0,-51.04037649920792,0,-3.5928899999998976
1.0,0.25,wec,Le Mans 24 2026,agent,HYPERCAR,5,604281,HYPERCAR-17,14,14,369,86323.88607889731,121,3292.9922459317963,425.6,57,-10,0,-49.37329687907186,87,-1074.7647774237744
1.0,0.25,wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,871382,HYPERCAR-17,9,9,390,86279.63114137117,37,2623.9881189653815,546.4000000000001,16,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,871382,HYPERCAR-17,7,7,390,86228.80315276589,38,2673.6827065913744,518.4000000000001,15,2,0,50.827988605276914,1,-49.69458762599288
1.0,0.25,wec,Le Mans 24 2026,track_position,HYPERCAR,5,871382,HYPERCAR-17,9,9,390,86279.56679804863,37,2623.9881189653815,544.0,16,0,0,0.06434332253411412,0,0.0
1.0,0.25,wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,871382,HYPERCAR-17,9,9,390,86242.18850258771,37,2583.068809825683,552.0,16,0,0,37.44263878345373,0,40.919309139698726
1.0,0.25,wec,Le Mans 24 2026,lap_down,HYPERCAR,5,871382,HYPERCAR-17,9,9,390,86279.63114137117,37,2623.9881189653815,546.4000000000001,16,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,agent,HYPERCAR,5,871382,HYPERCAR-17,18,18,388,86286.64099850283,117,3579.389251440376,444.00000000000006,16,-9,-2,-7.009857131663011,80,-955.4011324749945
1.0,0.25,wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,967710,HYPERCAR-18,3,3,392,86287.66082973605,37,2619.3094284179792,452.00000000000006,16,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,967710,HYPERCAR-18,3,3,392,86287.66082973605,37,2619.3094284179792,452.00000000000006,16,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,track_position,HYPERCAR,5,967710,HYPERCAR-18,4,4,392,86307.72270660472,37,2619.3094284179792,496.00000000000006,16,-1,0,-20.06187686866906,0,0.0
1.0,0.25,wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,967710,HYPERCAR-18,3,3,392,86277.31302255979,38,2611.346615707364,452.8,16,0,0,10.347807176265633,1,7.962812710615253
